model,params_b,token_bucket,n,mean_prompt_tokens,mean_output_tokens,mean_latency_s,median_latency_s,cost_per_inference_usd,cost_per_1k_usd
allenai/OLMo-1B-hf,1.0,Long (>=512 tok),1341,1152.0,571.5,0.6206,0.6758,0.00013875,0.13875
meta-llama/Llama-3.2-1B-Instruct,1.0,Long (>=512 tok),1358,1805.3,623.4,0.3177,0.353,7.103e-05,0.07103
meta-llama/Llama-3.2-1B,1.0,Long (>=512 tok),1250,1885.7,896.5,0.4753,0.5004,0.00010627,0.10627
allenai/OLMo-2-0425-1B,1.0,Long (>=512 tok),1252,1572.0,1537.0,2.7127,2.4522,0.00060643,0.60643
microsoft/phi-1_5,1.3,Short (<128 tok),1313,70.7,285.4,0.2269,0.1948,5.073e-05,0.05073
ai-forever/mGPT,1.3,Short (<128 tok),1457,80.4,274.0,0.2428,0.236,5.428e-05,0.05428
microsoft/phi-1_5,1.3,Medium (128-511 tok),1011,285.4,301.9,0.2679,0.2385,5.988e-05,0.05988
ai-forever/mGPT,1.3,Medium (128-511 tok),1056,272.5,308.9,0.4161,0.4248,9.303e-05,0.09303
microsoft/phi-1_5,1.3,Long (>=512 tok),1360,1155.4,256.1,0.262,0.2385,5.858e-05,0.05858
ai-forever/mGPT,1.3,Long (>=512 tok),1460,1166.1,446.0,0.4651,0.4248,0.00010397,0.10397
stabilityai/stablelm-2-zephyr-1_6b,1.6,Short (<128 tok),1436,80.1,342.3,0.3752,0.3111,8.389e-05,0.08389
stabilityai/stablelm-2-zephyr-1_6b,1.6,Medium (128-511 tok),1198,269.6,422.4,0.4616,0.4722,0.0001032,0.1032
stabilityai/stablelm-2-zephyr-1_6b,1.6,Long (>=512 tok),1339,1542.0,387.9,0.5119,0.4722,0.00011443,0.11443
stabilityai/stablelm-2-1_6b-chat,1.645,Short (<128 tok),1536,80.3,431.3,0.4367,0.3944,9.763e-05,0.09763
stabilityai/stablelm-2-1_6b-chat,1.645,Medium (128-511 tok),1123,281.3,526.1,0.5934,0.5282,0.00013265,0.13265
stabilityai/stablelm-2-1_6b-chat,1.645,Long (>=512 tok),1314,1554.4,474.5,0.6217,0.5282,0.00013899,0.13899
utter-project/EuroLLM-1.7B,1.7,Short (<128 tok),1478,78.9,581.6,0.4884,0.4309,0.00010919,0.10919
utter-project/EuroLLM-1.7B-Instruct,1.7,Short (<128 tok),1413,81.8,350.4,0.3108,0.2833,6.948e-05,0.06948
utter-project/EuroLLM-1.7B,1.7,Medium (128-511 tok),1061,273.9,616.5,0.5332,0.4044,0.0001192,0.1192
utter-project/EuroLLM-1.7B-Instruct,1.7,Medium (128-511 tok),1123,268.6,434.9,0.3585,0.4218,8.015e-05,0.08015
utter-project/EuroLLM-1.7B,1.7,Long (>=512 tok),1434,1563.9,492.0,0.5312,0.4889,0.00011875,0.11875
utter-project/EuroLLM-1.7B-Instruct,1.7,Long (>=512 tok),1437,1565.5,453.4,0.3859,0.4218,8.626e-05,0.08626
nvidia/AceInstruct-1.5B,1.777,Short (<128 tok),1543,77.4,436.3,0.2567,0.2043,5.738e-05,0.05738
nvidia/AceInstruct-1.5B,1.777,Medium (128-511 tok),1118,281.9,603.9,0.2949,0.3074,6.593e-05,0.06593
nvidia/AceInstruct-1.5B,1.777,Long (>=512 tok),1312,1877.2,657.1,0.369,0.4084,8.249e-05,0.08249
h2oai/h2o-danube2-1.8b-chat,1.8,Short (<128 tok),1455,80.7,506.8,0.6417,0.5335,0.00014346,0.14346
h2oai/h2o-danube2-1.8b-base,1.8,Short (<128 tok),1461,79.7,435.0,0.8619,0.6612,0.00019267,0.19267
Qwen/Qwen1.5-1.8B,1.8,Short (<128 tok),1538,80.1,942.4,1.646,1.1661,0.00036798,0.36798
Qwen/Qwen1.5-1.8B-Chat,1.8,Short (<128 tok),1536,80.3,609.8,0.9868,0.6681,0.00022061,0.22061
h2oai/h2o-danube2-1.8b-chat,1.8,Medium (128-511 tok),1073,272.0,598.5,0.6063,0.4578,0.00013554,0.13554
h2oai/h2o-danube2-1.8b-base,1.8,Medium (128-511 tok),1067,272.6,557.9,0.5942,0.4498,0.00013283,0.13283
Qwen/Qwen1.5-1.8B,1.8,Medium (128-511 tok),1123,281.8,983.7,1.4734,1.2331,0.00032939,0.32939
Qwen/Qwen1.5-1.8B-Chat,1.8,Medium (128-511 tok),1125,281.6,752.9,1.0174,0.9271,0.00022745,0.22745
h2oai/h2o-danube2-1.8b-chat,1.8,Long (>=512 tok),1445,1868.9,663.2,0.7576,0.9461,0.00016935,0.16935
h2oai/h2o-danube2-1.8b-base,1.8,Long (>=512 tok),1445,1868.9,944.9,1.0636,0.9114,0.00023777,0.23777
Qwen/Qwen1.5-1.8B,1.8,Long (>=512 tok),1312,1877.2,1051.0,2.0901,2.1353,0.00046725,0.46725
Qwen/Qwen1.5-1.8B-Chat,1.8,Long (>=512 tok),1312,1877.2,863.7,1.4172,1.658,0.00031683,0.31683
h2oai/h2o-danube-1.8b-chat,1.831,Short (<128 tok),1282,81.3,583.3,1.8259,1.5933,0.00040818,0.40818
h2oai/h2o-danube-1.8b-chat,1.831,Medium (128-511 tok),1224,259.5,629.2,1.6236,1.5448,0.00036295,0.36295
h2oai/h2o-danube-1.8b-chat,1.831,Long (>=512 tok),1467,1921.1,796.1,2.2405,2.5327,0.00050088,0.50088
ibm-granite/granite-3.1-2b-base,2.0,Short (<128 tok),1462,79.4,437.2,0.5534,0.5591,0.00012371,0.12371
BSC-LT/salamandra-2b-instruct,2.0,Short (<128 tok),954,87.5,333.5,0.7091,0.8023,0.00015852,0.15852
ibm-granite/granite-3.0-2b-base,2.0,Short (<128 tok),1462,79.4,518.7,0.574,0.5233,0.00012832,0.12832
BSC-LT/salamandra-2b,2.0,Short (<128 tok),1475,78.9,1073.6,3.8398,4.5584,0.00085842,0.85842
google/gemma-2-2b,2.0,Short (<128 tok),1600,74.5,184.2,0.4089,0.3345,9.14e-05,0.0914
ibm-granite/granite-3.1-2b-instruct,2.0,Short (<128 tok),1300,89.9,441.2,0.3937,0.382,8.801e-05,0.08801
ibm-granite/granite-3.1-2b-base,2.0,Medium (128-511 tok),1078,276.3,540.9,0.6038,0.4388,0.00013499,0.13499
BSC-LT/salamandra-2b-instruct,2.0,Medium (128-511 tok),1570,259.6,462.4,0.8569,0.7501,0.00019156,0.19156
ibm-granite/granite-3.0-2b-base,2.0,Medium (128-511 tok),1078,276.3,565.8,0.5884,0.4474,0.00013153,0.13153
BSC-LT/salamandra-2b,2.0,Medium (128-511 tok),1061,273.3,1451.0,3.6882,3.5146,0.00082451,0.82451
google/gemma-2-2b,2.0,Medium (128-511 tok),1055,289.0,160.0,0.3331,0.3344,7.446e-05,0.07446
ibm-granite/granite-3.1-2b-instruct,2.0,Medium (128-511 tok),1236,263.5,536.0,0.4483,0.3306,0.00010022,0.10022
ibm-granite/granite-3.1-2b-base,2.0,Long (>=512 tok),1433,1930.1,476.1,0.6028,0.5591,0.00013476,0.13476
BSC-LT/salamandra-2b-instruct,2.0,Long (>=512 tok),1449,1887.5,487.8,1.1237,1.3503,0.00025121,0.25121
ibm-granite/granite-3.0-2b-base,2.0,Long (>=512 tok),1433,1575.8,451.5,0.5205,0.4312,0.00011635,0.11635
BSC-LT/salamandra-2b,2.0,Long (>=512 tok),1437,1893.4,1998.8,4.2665,4.5584,0.00095381,0.95381
google/gemma-2-2b,2.0,Long (>=512 tok),1318,1833.6,294.7,0.4501,0.394,0.00010063,0.10063
ibm-granite/granite-3.1-2b-instruct,2.0,Long (>=512 tok),1437,1932.1,478.8,0.481,0.4386,0.00010754,0.10754
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,2.4,Short (<128 tok),1396,82.6,618.0,0.6629,0.5027,0.00014819,0.14819
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,2.4,Medium (128-511 tok),1161,263.3,738.5,0.7504,0.8656,0.00016775,0.16775
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,2.4,Long (>=512 tok),1416,1889.8,843.2,0.9623,0.9578,0.00021513,0.21513
google/gemma-2b,2.5,Short (<128 tok),1600,74.5,2241.1,0.9807,1.0226,0.00021925,0.21925
google/gemma-2b,2.5,Medium (128-511 tok),1055,289.0,1706.4,0.921,0.9105,0.00020589,0.20589
google/gemma-2b,2.5,Long (>=512 tok),1318,1833.6,1984.3,1.0608,1.0226,0.00023714,0.23714
openbmb/MiniCPM-2B-sft-bf16,2.7,Short (<128 tok),1580,74.5,279.2,0.5766,0.5654,0.0001289,0.1289
openbmb/MiniCPM-2B-sft-bf16,2.7,Medium (128-511 tok),996,282.8,328.3,0.8255,0.8027,0.00018455,0.18455
openbmb/MiniCPM-2B-sft-bf16,2.7,Long (>=512 tok),1397,1562.4,267.6,0.8232,0.8027,0.00018404,0.18404
tiiuae/Falcon3-3B-Base,3.0,Short (<128 tok),1558,76.3,549.5,1.0523,0.8625,0.00023526,0.23526
stabilityai/stablelm-zephyr-3b,3.0,Short (<128 tok),1379,80.0,369.4,0.6848,0.4884,0.0001531,0.1531
tiiuae/Falcon3-3B-Instruct,3.0,Short (<128 tok),1442,79.7,394.0,0.4341,0.3056,9.704e-05,0.09704
openlm-research/open_llama_3b,3.0,Short (<128 tok),1459,78.9,1902.8,3.9931,4.2289,0.00089268,0.89268
meta-llama/Llama-3.2-3B-Instruct,3.0,Short (<128 tok),1235,91.1,480.7,0.5747,0.416,0.00012848,0.12848
tiiuae/Falcon3-3B-Base,3.0,Medium (128-511 tok),1017,278.8,701.0,0.9079,0.8625,0.00020296,0.20296
stabilityai/stablelm-zephyr-3b,3.0,Medium (128-511 tok),1219,261.8,453.8,0.9149,0.867,0.00020454,0.20454
tiiuae/Falcon3-3B-Instruct,3.0,Medium (128-511 tok),1113,266.0,490.6,0.449,0.589,0.00010038,0.10038
openlm-research/open_llama_3b,3.0,Medium (128-511 tok),1061,268.6,1531.0,4.0412,3.8196,0.00090343,0.90343
meta-llama/Llama-3.2-3B-Instruct,3.0,Medium (128-511 tok),1380,255.2,498.8,0.579,0.5568,0.00012944,0.12944
tiiuae/Falcon3-3B-Base,3.0,Long (>=512 tok),1398,1963.4,939.2,1.2027,1.1803,0.00026888,0.26888
stabilityai/stablelm-zephyr-3b,3.0,Long (>=512 tok),1375,1529.6,434.4,1.0224,0.867,0.00022856,0.22856
tiiuae/Falcon3-3B-Instruct,3.0,Long (>=512 tok),1418,1952.0,613.8,0.6428,0.6687,0.0001437,0.1437
openlm-research/open_llama_3b,3.0,Long (>=512 tok),1453,1157.5,801.2,3.4528,3.6609,0.00077189,0.77189
meta-llama/Llama-3.2-3B-Instruct,3.0,Long (>=512 tok),1358,1805.3,567.7,0.7527,0.7549,0.00016827,0.16827
arcee-ai/raspberry-3B,3.086,Short (<128 tok),1536,80.3,287.2,0.3457,0.3002,7.727e-05,0.07727
arcee-ai/raspberry-3B,3.086,Medium (128-511 tok),1125,281.6,424.8,0.3491,0.2766,7.805e-05,0.07805
arcee-ai/raspberry-3B,3.086,Long (>=512 tok),1312,1877.2,404.2,0.4402,0.5052,9.842e-05,0.09842
pankajmathur/orca_mini_v9_5_3B-Instruct,3.213,Short (<128 tok),1545,78.8,321.5,0.3999,0.3686,8.939e-05,0.08939
pankajmathur/orca_mini_v9_5_3B-Instruct,3.213,Medium (128-511 tok),1135,282.7,401.0,0.4926,0.3647,0.00011011,0.11011
pankajmathur/orca_mini_v9_5_3B-Instruct,3.213,Long (>=512 tok),1293,1849.9,406.1,0.5403,0.5,0.00012078,0.12078
pankajmathur/orca_mini_3b,3.426,Short (<128 tok),1459,78.9,206.9,0.3231,0.3007,7.223e-05,0.07223
pankajmathur/orca_mini_3b,3.426,Medium (128-511 tok),1061,268.6,241.5,0.4384,0.5293,9.801e-05,0.09801
pankajmathur/orca_mini_3b,3.426,Long (>=512 tok),1453,1157.5,188.5,0.4888,0.5293,0.00010928,0.10928
ibm/PowerLM-3b,3.512,Short (<128 tok),1462,79.4,621.2,3.0073,2.8669,0.0006723,0.6723
ibm/PowerLM-3b,3.512,Medium (128-511 tok),1078,276.3,690.2,3.0334,3.283,0.00067814,0.67814
ibm/PowerLM-3b,3.512,Long (>=512 tok),1433,1575.8,677.4,2.2695,1.7348,0.00050736,0.50736
01-ai/Yi-1.5-6B-Chat,6.0,Short (<128 tok),1258,80.5,861.3,1.138,0.9116,0.0002544,0.2544
01-ai/Yi-6B-Chat,6.0,Short (<128 tok),1430,78.9,467.3,0.7424,0.7027,0.00016596,0.16596
01-ai/Yi-6B,6.0,Short (<128 tok),1512,77.7,301.7,0.9713,0.9473,0.00021715,0.21715
01-ai/Yi-1.5-6B,6.0,Short (<128 tok),1512,77.7,213.4,0.6629,0.6803,0.0001482,0.1482
01-ai/Yi-1.5-6B-Chat,6.0,Medium (128-511 tok),1273,253.3,660.6,1.0514,0.9422,0.00023505,0.23505
01-ai/Yi-6B-Chat,6.0,Medium (128-511 tok),1116,266.8,528.5,0.8685,0.9955,0.00019416,0.19416
01-ai/Yi-6B,6.0,Medium (128-511 tok),1038,274.1,639.3,1.1096,0.8915,0.00024806,0.24806
01-ai/Yi-1.5-6B,6.0,Medium (128-511 tok),1038,274.1,327.6,0.7071,0.6399,0.00015808,0.15808
01-ai/Yi-1.5-6B-Chat,6.0,Long (>=512 tok),1442,1557.9,571.7,1.0819,0.9422,0.00024186,0.24186
01-ai/Yi-6B-Chat,6.0,Long (>=512 tok),1427,1559.2,548.9,0.9282,0.9955,0.0002075,0.2075
01-ai/Yi-6B,6.0,Long (>=512 tok),1423,1557.0,789.6,1.1752,1.1815,0.00026272,0.26272
01-ai/Yi-1.5-6B,6.0,Long (>=512 tok),1423,1557.0,436.5,0.7675,0.7944,0.00017157,0.17157
01-ai/Yi-6B-200K,6.061,Short (<128 tok),1512,77.7,508.2,1.1255,1.0455,0.00025162,0.25162
01-ai/Yi-6B-200K,6.061,Medium (128-511 tok),1038,274.1,530.4,1.0363,1.0645,0.00023168,0.23168
01-ai/Yi-6B-200K,6.061,Long (>=512 tok),1423,1894.8,414.7,1.071,1.0645,0.00023943,0.23943
ibm-granite/granite-7b-instruct,6.738,Short (<128 tok),1497,76.7,376.4,2.287,2.0224,0.00051127,0.51127
ibm-granite/granite-7b-instruct,6.738,Medium (128-511 tok),1025,277.2,454.4,2.9629,1.8342,0.00066238,0.66238
ibm-granite/granite-7b-instruct,6.738,Long (>=512 tok),1451,1573.0,346.1,2.7841,2.0224,0.00062239,0.62239
BSC-LT/salamandra-7b-instruct,7.0,Short (<128 tok),954,87.5,298.0,1.3672,1.5104,0.00030565,0.30565
BSC-LT/salamandra-7b,7.0,Short (<128 tok),1475,78.9,388.1,3.6772,2.4006,0.00082206,0.82206
BSC-LT/salamandra-7b-instruct,7.0,Medium (128-511 tok),1556,301.6,353.7,1.4565,0.9556,0.0003256,0.3256
BSC-LT/salamandra-7b,7.0,Medium (128-511 tok),1061,273.3,456.9,3.4076,2.673,0.0007618,0.7618
BSC-LT/salamandra-7b-instruct,7.0,Long (>=512 tok),1463,1875.5,376.2,2.0166,2.2263,0.00045082,0.45082
BSC-LT/salamandra-7b,7.0,Long (>=512 tok),1437,1893.4,928.8,4.932,5.2617,0.00110257,1.10257
