bucket	criterion_id	decision	before	after
B4_other_identify	te_0104_c01		The student needs clarification about the rationale for explicity raising an exception	"Acknowledges the student's confusion about the rationale for explicity raising an exception, pivots to address it."
B4_other_identify	te_0221_c01		"The student needs concise definitions of key technical terms and their units appeared in this chapter, such as current, voltage, resistance, circuit, etc."	"Identifies that the student just wants some simple definitions of key technical terms and their units (current, voltage, resistance, circuit, etc)."
B4_other_identify	te_0249_c01		The student needs help clarifying the definition of species	"Identifies the student missed an aspect of their definition of species: same species animals must have fertile offspring, not just be able to have offspring."
B4_other_identify	te_0590_c01		The student needs help understanding the concept of a homunculus.	Identifies that the homonculus is relevant to what the student is asking.
B4_other_identify	te_0598_c01		The student should be careful distinguishing between an inability to see and an attentional deficit	Warns the student to properly distinguish between an inability to see and an attentional deficit
B4_other_identify	te_0624_c01		The student can't do the computation.	Guides the student in the right direction to start computation.
B4_other_identify	te_0742_c01		The student can start from the basic definition of variance Var=E(x - E(x))^2.	Provide a starting point of the student: the basic definition of variance Var=E(x - E(x))^2.
B4_other_identify	te_0753_c01		The student needs more background knowledge about a step in a proof.	Focuses on providing background knowledge about the specific step in the proof that the student mentions.
B4_other_identify	te_0812_c02		The student should distinguish between 'strictly increasing' and 'weakly increasing'	"Informs the student that they need to clarify whether they mean 'strictly increasing' or 'weakly increasing,' to not be ambiguous."
C_mixed_voice	te_0261_c01		This is false. The student is confused between abundance and accessiblity.	Identifies that the student is wrong because they are confused between abundance and accessiblity.
C_mixed_voice	te_0264_c01		This is false. The student is confused about these concepts.	Identifies that the student is wrong because they are confused about dissolved oxygen and BOD.
C_mixed_voice	te_0266_c01		This is false. The student is confused about the causes of oxygen depletion.	Identifies that the student is wrong because they are confused about the causes of oxygen depletion.
C_mixed_voice	te_0329_c01		The student did not understand well the last part. Summarise it	"Summarizes the last part of the section, the part that the student specifically asked about."
C_mixed_voice	te_0344_c01		The student is only asking about the first part of the exercise. Do not discuss the second part	Targets the first part of the exercise as the student's question is about that part. Should not really discuss the second part
C_mixed_voice	te_0344_c02		"The student has issues with the algebra, no with the geometry. Explain the algebra of the problem"	"Explains the algebra involved in the problem, recognizing and potentially acknowledging that the student is struggling with the algebra and not the geometry."
C_mixed_voice	te_0446_c01		Do not give the textbook solution. The student is asking for the mistake in this argument	Does not give out the textbook solution (or another complete solution). Focuses finding the mistake in the student's argument and describing it to them.
C_mixed_voice	te_0554_c02		Do not provide the solution. The student is only asking for clarification on the statement	"Does not give out a solution to the problem statement. Only provides clarification on the statement by the student's request, nothing more."
C_mixed_voice	te_0591_c01		This is wrong. The student has confused Brodmann's region and Broca's area.	Identifies and points out to the student that they have confused Brodmann's region and Broca's area.
C_mixed_voice	te_0624_c03		Give an example of the first term. The student has to simply evaluate the function at $r=0$. The result is $1$.	Gives an example of the first term for the Taylor series. Identifies that the student has to simply evaluate the function at $r=0$. The result is $1$.
C_mixed_voice	te_0624_c04		Give an example of the second term. The student has to take the derivative of the function with respect to $r$ and then evaluate it at $r=0$. The result is $x$.	Gives an example of the second term for the Taylor series. Identifies that the student has to take the derivative of the function with respect to $r$ and then evaluate it at $r=0$. The result is $x$.
C_mixed_voice	te_0664_c03		Explain that there are two solutions for $\psi(x)$: one with $A_1 \exp\left(+ \frac{in\omega}{c}x\right)$ and another one $A_2 \exp\left(- \frac{in\omega}{c}x\right)$. A general solution is a linear combination of these two. The student should find the coefficients $A_1$ and $A_2$ from the boundary conditions.	Explains that there are two solutions for $\psi(x)$: one with $A_1 \exp\left(+ \frac{in\omega}{c}x\right)$ and another one $A_2 \exp\left(- \frac{in\omega}{c}x\right)$. Elaborates that the general solution is a linear combination of these two. Prompts the student to find the coefficients $A_1$ and $A_2$ from the boundary conditions.
