model,fold,criteria_administered,scenarios_administered,theta_ref_ability,theta_online_ability,theta_batch_ability,theta_mwle_ability
Qwen/Qwen2-0.5B,4,15,9,-1.9395505845234065,-1.676572,-2.000451617595383,-2.168473955718937
Qwen/Qwen2.5-0.5B-Instruct,4,15,9,0.01157078648737005,-0.442889,-0.4387721495252238,-0.4559040152690979
ai-forever/mGPT,3,16,10,-4.93537066353554,-2.409173,-2.9719963988842997,-3.0725859607128476
allenai/OLMo-1B-hf,3,15,11,-4.794179361814159,-1.175014,-1.9742145577443235,-1.8533439698323622
allenai/OLMo-2-0425-1B,3,15,9,-1.1556287238050285,-0.436867,-0.5431831591818534,-0.4771860985929271
allenai/OLMo-2-0425-1B-DPO,4,15,9,0.5154540550431206,-0.056047,-0.04796007091811807,-0.035980301024376694
allenai/OLMo-2-0425-1B-Instruct,4,15,10,0.5981598623519119,0.170196,0.16434316315533704,0.19183478116539454
arcee-ai/raspberry-3B,0,15,12,1.1998331878275932,1.130484,1.132677704061692,1.1579097308708393
google/gemma-2-2b,2,15,12,-1.0959497422951743,-1.1902,-1.5327832007792455,-1.5245883141657883
google/gemma-2b,1,15,9,-1.2033749197522197,-1.321173,-1.3871440713669312,-1.3971374602919902
h2oai/h2o-danube-1.8b-chat,3,15,10,-1.162487641378191,-0.360802,-0.3901009005747469,-0.37210234998236397
h2oai/h2o-danube2-1.8b-base,4,15,9,-1.1894865809273183,-1.050021,-1.1152779182236838,-1.144375299105123
h2oai/h2o-danube2-1.8b-chat,1,15,9,-0.5954206064665897,-0.699551,-0.6746489027337331,-0.7487093651146834
ibm-granite/granite-3.0-2b-base,2,15,10,0.6089649359062628,0.43874,0.44665724030561293,0.44002390431056154
ibm-granite/granite-3.1-2b-base,3,15,10,0.8075801654633514,0.762339,0.8796679419972908,0.9046389410053581
ibm-granite/granite-3.1-2b-instruct,2,15,10,1.9852873495743393,1.583796,1.6457764988967816,1.6846991335435786
ibm-granite/granite-7b-instruct,1,16,11,0.39924533746931967,0.465723,0.44956412040974036,0.4657559365630784
ibm/PowerLM-3b,0,16,11,0.01831167789020406,-0.19059,-0.2039724102761235,-0.17071726621679387
meta-llama/Llama-3.2-1B,0,15,9,-1.3917146323921206,-0.944257,-0.9576654972583454,-0.9832481532083938
meta-llama/Llama-3.2-1B-Instruct,1,15,10,0.1419580540056735,-0.277342,-0.3379790865001978,-0.26088460070097774
meta-llama/Llama-3.2-3B-Instruct,0,15,9,1.400075942641479,0.461976,0.539131363988836,0.4715652722247884
microsoft/phi-1_5,2,15,10,-1.0600096495198417,-1.27207,-1.434235377817107,-1.4366415899874827
nvidia/AceInstruct-1.5B,1,15,10,1.4025474063358103,1.340879,1.3524080024462144,1.3850417700723883
openbmb/MiniCPM-1B-sft-bf16,1,16,10,-2.72512412624363,-0.8756,-1.0973655841462229,-1.1206535508250268
openbmb/MiniCPM-2B-sft-bf16,0,16,9,-0.7987692781478232,-0.715065,-0.7018404711901115,-0.7707764025161632
openlm-research/open_llama_3b,2,15,11,-2.1117398176861486,-1.444878,-2.2616562813464975,-2.5361117075930744
pankajmathur/orca_mini_3b,0,15,10,-1.009271688896936,-0.777965,-1.0283279964022478,-1.0147881546684951
pankajmathur/orca_mini_v9_5_3B-Instruct,4,16,9,1.670734839574156,0.93106,0.9921440443229653,0.9815721851821692
stabilityai/stablelm-2-1_6b-chat,2,15,11,-0.17907810113531641,-0.185521,-0.021600474202973695,0.01653770658403357
stabilityai/stablelm-2-zephyr-1_6b,0,15,10,-0.4063172225695399,-0.159571,-0.187792037931968,-0.14232124998468973
stabilityai/stablelm-zephyr-3b,2,15,10,0.0699816916253507,-0.03347,-0.12493494092986335,-0.07844532705688363
tiiuae/Falcon3-1B-Instruct,1,16,9,0.8024518181038065,0.757887,0.7501350793248748,0.7699463464244735
tiiuae/Falcon3-3B-Base,1,17,11,1.399790402397609,0.977622,0.7727583568717581,0.7930183361763095
tiiuae/Falcon3-3B-Instruct,4,15,10,2.7921884786998756,2.3519,2.5861084652077486,2.5506281502370385
utter-project/EuroLLM-1.7B,2,15,12,-2.0930947351004088,-0.992547,-1.4262434832316404,-1.449361411340478
utter-project/EuroLLM-1.7B-Instruct,0,15,8,-1.0033613594557214,-0.972631,-0.9779955861636985,-0.991730492855267
