model,n_admin,theta_conceptual_understanding,se_posterior_conceptual_understanding,se_param_conceptual_understanding,se_total_conceptual_understanding,bar_inflation_conceptual_understanding,theta_quantitative_procedural,se_posterior_quantitative_procedural,se_param_quantitative_procedural,se_total_quantitative_procedural,bar_inflation_quantitative_procedural
Qwen/Qwen2.5-0.5B-Instruct,27,-0.5209119791996066,0.35409967674840576,0.20269559035700857,0.40800990603599524,1.1522459149995037,-0.23843792666420735,0.2706173561938776,0.10866287288881386,0.2916185409362967,1.0776047221722662
ai-forever/mGPT,42,-1.7518943176190716,0.6253938697827,0.19190488710275766,0.6541750362523037,1.0460208643867968,-2.220709034200829,0.5503069323721931,0.10234080062576804,0.5597422257518336,1.0171455106679614
allenai/OLMo-1B-hf,63,-1.9554936013831266,0.5924312261860639,0.4036753451861129,0.7168880959197542,1.210078173182928,-2.4472098822600783,0.5407029044003188,0.20931367621305866,0.5798032820507015,1.072313977476685
allenai/OLMo-2-0425-1B,25,-0.7460452164905749,0.3529517168678292,0.12224911852591192,0.373523441594113,1.0582848127467455,-0.5983790820568529,0.3402170932170639,0.1270275381006347,0.36315790773846096,1.0674299292386242
allenai/OLMo-2-0425-1B-DPO,29,0.189371182371555,0.25380769948530657,0.19231257504132948,0.31843755249193,1.254641026011762,-0.2245397737367904,0.27661005114380116,0.09886934041852348,0.2937486457306147,1.0619594064494198
allenai/OLMo-2-0425-1B-Instruct,24,0.15054377385176573,0.27951615741272956,0.25752209222373806,0.3800617189853107,1.3597128785085473,-0.3031839885669513,0.2922267638590145,0.08367749662703976,0.30397105940743846,1.0401889799323445
arcee-ai/raspberry-3B,25,0.5257528158298445,0.19923294361703153,0.2128223072346528,0.2915254710638304,1.4632392905071208,0.9920114773325637,0.19996921519836947,0.20225158946079225,0.28441763740399195,1.4223071142318064
google/gemma-2-2b,28,-0.5607532563741325,0.3481025136392892,0.12306526180794716,0.3692159512613859,1.060652930659314,-1.040890748026653,0.3887740246461819,0.1284501716788883,0.4094443659936303,1.053168010301769
google/gemma-2b,25,-0.9512557038436968,0.3595721222351761,0.2398895222943244,0.4322488796923684,1.202120111552081,0.08414883826417388,0.2581592705026584,0.15297772110080776,0.3000806426607043,1.162385693438091
h2oai/h2o-danube-1.8b-chat,27,-0.5658482296225195,0.32861720301079506,0.09458708662220985,0.3419590371233308,1.0405999259633936,-1.1338145090678067,0.4061781356260247,0.09465817990938857,0.4170621642925566,1.0267961953435945
h2oai/h2o-danube2-1.8b-base,28,-0.905420429983629,0.3687130490308624,0.12173143975774671,0.38828836700463876,1.0530909280949747,-0.7954349777528551,0.3509182946918099,0.1068603149202548,0.36682799300798186,1.0453373293921437
h2oai/h2o-danube2-1.8b-chat,28,-1.2978578179071922,0.4715090312855444,0.18023213310201505,0.5047815254011729,1.0705659741551776,-0.7607857348123318,0.3509514622480435,0.1076285828471621,0.3670842419659666,1.0459686921222195
ibm-granite/granite-3.0-2b-base,31,0.7285500690411959,0.20501903095145305,0.09112468448674603,0.22435799779611573,1.0943276668264128,0.1781435529142656,0.22096249374916302,0.10798503004575266,0.24593737080368858,1.1130276755605277
ibm-granite/granite-3.1-2b-base,27,1.1681035747403978,0.23914577393835212,0.24301243616119095,0.3409483030043856,1.4256923607283836,-0.20388300526040304,0.263168223772925,0.08916511831091989,0.2778631539574772,1.0558385430196608
ibm-granite/granite-3.1-2b-instruct,26,2.169604433235098,0.3817426805075576,0.2377192568668646,0.44970870483728637,1.178041460387302,1.308152020869339,0.1601564292736591,0.13642931883218723,0.2103878344265732,1.313639642071963
ibm-granite/granite-7b-instruct,23,0.5150795310321215,0.2571756836262101,0.2229914847465812,0.3403887990491069,1.3235652541079357,-0.6148401265437395,0.35780284538524265,0.20363363929209236,0.4116910676916829,1.1506087025339873
ibm/PowerLM-3b,28,0.1192449790744689,0.250355024673319,0.17888049825847524,0.30769444427285086,1.2290324297439303,-0.03102491898521688,0.24210510043481803,0.0871340735408957,0.2573076493779063,1.0627931791432095
meta-llama/Llama-3.2-1B,41,-1.1565784024184238,0.3901563832735808,0.10632520951819656,0.40438478407107464,1.0364684557461585,-1.8909947167361103,0.47690544118743805,0.10447816305388809,0.48821561465125196,1.0237157568084208
meta-llama/Llama-3.2-1B-Instruct,27,-0.272837999166368,0.2752492456247179,0.13296626981489118,0.3056831302598538,1.1105684579300545,0.22648755130826226,0.221075292751872,0.12927559918773637,0.25609854667817655,1.158422289032604
meta-llama/Llama-3.2-3B-Instruct,26,1.5024928592946631,0.21792431278267413,0.18942896188727423,0.288746147512813,1.3249836322795532,1.326022454924594,0.14389394703194164,0.12247335921659327,0.18895817449961755,1.313176672106107
microsoft/phi-1_5,28,-0.6023860623120101,0.29878426083426063,0.09820121254116797,0.31450836660863435,1.0526269547481153,-0.4442390945492993,0.32391469667864314,0.12545091664545122,0.3473595589754244,1.0723797423740886
nvidia/AceInstruct-1.5B,27,1.4830160672054138,0.16238260580299949,0.13796801087360688,0.21308046060535918,1.31221234904843,1.2132675908076986,0.1510798401238393,0.13027798905344018,0.1994930387849489,1.3204477753049353
openbmb/MiniCPM-1B-sft-bf16,55,-1.9828629842247891,0.5441176042996064,0.18246061366174576,0.5738953239455467,1.054726624190501,-2.4134076572989827,0.5405826318550918,0.06696996343917516,0.5447151162455676,1.0076445008532637
openbmb/MiniCPM-2B-sft-bf16,31,-0.6808691540459053,0.3019856508639464,0.1499470953256493,0.3371638544155062,1.116489652574283,-1.5663372765522303,0.4598712312552969,0.1488739048097762,0.4833683780198836,1.0510950569802926
openlm-research/open_llama_3b,64,-2.110539424781981,0.5520637995085776,0.22847945831677716,0.5974757749068785,1.0822585640259779,-1.6562801653571118,0.40029920376259365,0.17899557647345266,0.4384961447151276,1.0954209765932672
pankajmathur/orca_mini_3b,30,-0.9039080718445166,0.3575201007840543,0.1726216596533424,0.39701241774800283,1.1104618086573048,-1.4501149890280771,0.46370186249582374,0.21215206443588247,0.5099293242465103,1.0996922063281618
pankajmathur/orca_mini_v9_5_3B-Instruct,30,1.1314184351278431,0.20320623134043853,0.18033709349352442,0.2716877614933657,1.3370050696831126,0.6384394522316452,0.17879592716130854,0.17114423062977085,0.24750420450434402,1.3842832352721732
stabilityai/stablelm-2-1_6b-chat,29,-0.22581140613008513,0.24081823294518256,0.1287131628446842,0.2730576854957985,1.1338746329807785,0.008756784470932984,0.24956745309057485,0.14315206061145863,0.2877089259988696,1.1528303167578995
stabilityai/stablelm-2-zephyr-1_6b,34,-0.694178878156437,0.37923545654688007,0.18227370371377183,0.42076505863469277,1.1095087533902013,-0.6752244610226102,0.2954897954458308,0.10471312980125064,0.31349491027031445,1.060933118848716
stabilityai/stablelm-zephyr-3b,25,-0.1397306923335113,0.3076840758028872,0.11791004027495591,0.3295030623534758,1.0709136034864755,-0.07818278732218756,0.27361881298728385,0.12015441112865141,0.2988383130293758,1.0921701975341294
tiiuae/Falcon3-1B-Instruct,27,0.3663985104152452,0.320176489659438,0.19145359395401138,0.3730515556441866,1.165143499577343,-0.35074451771365167,0.2857442903361358,0.10678739199289908,0.30504646621186576,1.0675505216675505
tiiuae/Falcon3-3B-Base,28,1.254987763990452,0.22494517097394331,0.18166315998657726,0.2891398167682987,1.2853790793392557,1.015822770843219,0.20218828704136232,0.18456119717028466,0.2737570801233258,1.353971014489689
tiiuae/Falcon3-3B-Instruct,30,2.37739213738432,0.4102297607336071,0.391336628122883,0.5669504503059682,1.3820314969155336,2.4589581458933685,0.17775579424745205,0.1990319147111683,0.26685356557883255,1.5012369453754537
utter-project/EuroLLM-1.7B,29,-1.7658865862656299,0.5994605731751977,0.1415724674279208,0.615951087607747,1.0275089224720868,-2.1679797689639346,0.5597024002499391,0.06937188683782775,0.5639851376844814,1.0076518118068278
utter-project/EuroLLM-1.7B-Instruct,34,-0.8367776882828679,0.29954952442524796,0.182560795031415,0.35079675235938906,1.1710809857984927,-1.620096499575061,0.4418085357872477,0.13423824476676371,0.46175176085482694,1.0451399723005417
