model,scenarios,criteria,precision_reached,mwle_ok,theta_online_conceptual_understanding,theta_batch_conceptual_understanding,theta_mwle_conceptual_understanding,final_se_conceptual_understanding,scorable_evals_conceptual_understanding,theta_online_quantitative_procedural,theta_batch_quantitative_procedural,theta_mwle_quantitative_procedural,final_se_quantitative_procedural,scorable_evals_quantitative_procedural,theta_full_conceptual_understanding,theta_full_quantitative_procedural
ibm/PowerLM-3b,17,26,True,True,0.042975,0.009061727533787221,0.05050616406201374,0.172336,17,-0.099625,-0.15182348142691954,-0.07634210746683122,0.246241,16,0.027527533159130375,-0.0463574420311155
meta-llama/Llama-3.2-1B,31,52,True,True,-1.037171,-1.1442088021504593,-1.1596599777108514,0.163375,36,-1.207682,-1.7627273227264944,-2.067765175539259,0.298191,22,-1.3926493126244708,-1.4379788157815172
meta-llama/Llama-3.2-1B-Instruct,19,28,True,True,-0.164465,-0.19249040517166205,-0.15917520752656966,0.191077,22,0.096924,0.04404624705488967,0.14654534978915312,0.242336,16,-0.00811709660974204,0.29953384158131446
meta-llama/Llama-3.2-3B-Instruct,20,29,True,True,1.26241,1.3001364822044854,1.3067734289872328,0.117294,20,1.335689,1.3828453925453008,1.3972007260392056,0.14215,16,1.399964636540114,1.1269162029424729
microsoft/phi-1_5,19,28,True,True,-0.921619,-1.1674257368961438,-1.167478262715393,0.211759,18,-0.1636,-0.1985167442428973,-0.1554703901976595,0.298355,16,-1.1728751936109842,-0.6425569578057233
nvidia/AceInstruct-1.5B,19,27,True,True,1.220781,1.163343712954442,1.1911757068158493,0.12066,16,1.338181,1.3462979667233153,1.368315451475433,0.13604,16,1.4000523675960894,1.0471954243134354
openbmb/MiniCPM-1B-sft-bf16,41,76,True,True,-2.308703,-2.65626513886931,-2.712918401336941,0.157228,54,-1.45709,-2.3252153142896437,-3.350921907586806,0.29733,27,-2.7498182086737866,-2.512919142913989
openbmb/MiniCPM-2B-sft-bf16,50,85,False,True,-0.516907,-0.5104050633878389,-0.5158556862330453,0.13775,67,-1.373157,-1.9503402437245527,-2.36107917629544,0.304882,27,-0.8231452943130785,-1.8668816374918131
openlm-research/open_llama_3b,50,87,False,True,-1.962179,-2.2839497041255754,-2.350926421118268,0.147909,62,-1.27698,-1.5450371209271916,-1.673994780425855,0.307173,28,-2.257453200651558,-1.704544269991054
pankajmathur/orca_mini_3b,33,55,True,True,-1.004267,-1.04814801346465,-1.0720677736290645,0.169919,38,-1.179488,-1.7490322661309785,-2.034259025546547,0.291685,23,-1.1315466365914812,-1.770334380293431
pankajmathur/orca_mini_v9_5_3B-Instruct,13,24,True,True,0.371368,0.40902678880325977,0.39301031447047086,0.191556,20,0.422668,0.39817014765938374,0.45386226811184244,0.189894,15,1.0261949057286956,0.7786286511632987
stabilityai/stablelm-2-1_6b-chat,16,25,True,True,-0.081964,-0.12384175815065207,-0.06473628224246931,0.186061,17,-0.04104,-0.09784398641073669,-0.022778114360130934,0.25756,15,-0.16552401207658335,-0.23989688365417794
stabilityai/stablelm-2-zephyr-1_6b,40,64,True,True,-0.402018,-0.37635254957929354,-0.37611702940522596,0.152281,45,-0.473535,-0.5417090728271077,-0.5190730103633521,0.298449,26,-0.40906397114903814,-0.7504484537352621
stabilityai/stablelm-zephyr-3b,17,24,True,True,-0.265325,-0.3105885619295793,-0.24983146055069663,0.233237,15,-0.277101,-0.38043586658308703,-0.3109277014650325,0.291149,15,0.01876174913965684,-0.12416494847754614
tiiuae/Falcon3-1B-Instruct,22,34,True,True,0.928893,0.9106801303904861,0.95482801472897,0.143772,26,0.033419,-0.007746707963192639,0.07186680014451688,0.257646,15,0.919767465108813,0.1244078994103852
tiiuae/Falcon3-3B-Base,25,40,True,True,1.141882,1.170321395102334,1.1827794054941867,0.107925,38,0.471313,0.4141437714285925,0.47121111037762464,0.190211,16,1.3714646681596045,1.013032889512372
tiiuae/Falcon3-3B-Instruct,22,33,True,True,1.95186,2.4612394642305837,2.4095254784874864,0.093352,24,1.834193,2.4717996294278946,2.6582357995174157,0.162163,15,2.4108794795357054,2.215960619487737
utter-project/EuroLLM-1.7B,50,87,False,True,-1.522658,-2.062693955642695,-2.1162381579242524,0.132792,64,-1.804862,-2.360750901327311,-3.3764937572831797,0.345803,29,-2.197766048598003,-2.4038184978620993
utter-project/EuroLLM-1.7B-Instruct,50,88,False,True,-1.055187,-1.0692622518139212,-1.08572360909853,0.141439,66,-1.39057,-1.5761723269751415,-1.7240467661562677,0.335554,28,-1.0397797481576927,-1.622735497061941
