panel_id,repeat,outer_fold,left_policy_id,right_policy_id,n_models_compared,n_identical_paths,identical_path_fraction,all_paths_identical,counted_as_independent_support
repeat_02_outer_02,2,2,primary_floor15_se0p20_trace,sensitivity_floor12_se0p20_trace,10,10,1.0,True,False
repeat_02_outer_02,2,2,primary_floor15_se0p20_trace,sensitivity_floor15_se0p20_dopt,10,0,0.0,False,False
repeat_02_outer_02,2,2,sensitivity_floor12_se0p20_trace,sensitivity_floor15_se0p20_dopt,10,0,0.0,False,False
repeat_02_outer_03,2,3,primary_floor15_se0p20_trace,sensitivity_floor12_se0p20_trace,10,10,1.0,True,False
repeat_02_outer_03,2,3,primary_floor15_se0p20_trace,sensitivity_floor15_se0p20_dopt,10,0,0.0,False,False
repeat_02_outer_03,2,3,sensitivity_floor12_se0p20_trace,sensitivity_floor15_se0p20_dopt,10,0,0.0,False,False
repeat_02_outer_04,2,4,primary_floor15_se0p20_trace,sensitivity_floor12_se0p20_trace,11,11,1.0,True,False
repeat_02_outer_04,2,4,primary_floor15_se0p20_trace,sensitivity_floor15_se0p20_dopt,11,0,0.0,False,False
repeat_02_outer_04,2,4,sensitivity_floor12_se0p20_trace,sensitivity_floor15_se0p20_dopt,11,0,0.0,False,False
repeat_03_outer_00,3,0,primary_floor15_se0p20_trace,sensitivity_floor12_se0p20_trace,11,11,1.0,True,False
repeat_03_outer_00,3,0,primary_floor15_se0p20_trace,sensitivity_floor15_se0p20_dopt,11,0,0.0,False,False
repeat_03_outer_00,3,0,sensitivity_floor12_se0p20_trace,sensitivity_floor15_se0p20_dopt,11,0,0.0,False,False
repeat_03_outer_01,3,1,primary_floor15_se0p20_trace,sensitivity_floor12_se0p20_trace,10,10,1.0,True,False
repeat_03_outer_01,3,1,primary_floor15_se0p20_trace,sensitivity_floor15_se0p20_dopt,10,0,0.0,False,False
repeat_03_outer_01,3,1,sensitivity_floor12_se0p20_trace,sensitivity_floor15_se0p20_dopt,10,0,0.0,False,False
repeat_03_outer_02,3,2,primary_floor15_se0p20_trace,sensitivity_floor12_se0p20_trace,10,10,1.0,True,False
repeat_03_outer_02,3,2,primary_floor15_se0p20_trace,sensitivity_floor15_se0p20_dopt,10,0,0.0,False,False
repeat_03_outer_02,3,2,sensitivity_floor12_se0p20_trace,sensitivity_floor15_se0p20_dopt,10,0,0.0,False,False
repeat_03_outer_03,3,3,primary_floor15_se0p20_trace,sensitivity_floor12_se0p20_trace,10,10,1.0,True,False
repeat_03_outer_03,3,3,primary_floor15_se0p20_trace,sensitivity_floor15_se0p20_dopt,10,0,0.0,False,False
repeat_03_outer_03,3,3,sensitivity_floor12_se0p20_trace,sensitivity_floor15_se0p20_dopt,10,0,0.0,False,False
repeat_03_outer_04,3,4,primary_floor15_se0p20_trace,sensitivity_floor12_se0p20_trace,11,11,1.0,True,False
repeat_03_outer_04,3,4,primary_floor15_se0p20_trace,sensitivity_floor15_se0p20_dopt,11,0,0.0,False,False
repeat_03_outer_04,3,4,sensitivity_floor12_se0p20_trace,sensitivity_floor15_se0p20_dopt,11,0,0.0,False,False
repeat_04_outer_00,4,0,primary_floor15_se0p20_trace,sensitivity_floor12_se0p20_trace,11,11,1.0,True,False
repeat_04_outer_00,4,0,primary_floor15_se0p20_trace,sensitivity_floor15_se0p20_dopt,11,0,0.0,False,False
repeat_04_outer_00,4,0,sensitivity_floor12_se0p20_trace,sensitivity_floor15_se0p20_dopt,11,0,0.0,False,False
repeat_04_outer_01,4,1,primary_floor15_se0p20_trace,sensitivity_floor12_se0p20_trace,10,10,1.0,True,False
repeat_04_outer_01,4,1,primary_floor15_se0p20_trace,sensitivity_floor15_se0p20_dopt,10,0,0.0,False,False
repeat_04_outer_01,4,1,sensitivity_floor12_se0p20_trace,sensitivity_floor15_se0p20_dopt,10,0,0.0,False,False
repeat_04_outer_02,4,2,primary_floor15_se0p20_trace,sensitivity_floor12_se0p20_trace,10,10,1.0,True,False
repeat_04_outer_02,4,2,primary_floor15_se0p20_trace,sensitivity_floor15_se0p20_dopt,10,0,0.0,False,False
repeat_04_outer_02,4,2,sensitivity_floor12_se0p20_trace,sensitivity_floor15_se0p20_dopt,10,0,0.0,False,False
repeat_04_outer_03,4,3,primary_floor15_se0p20_trace,sensitivity_floor12_se0p20_trace,10,10,1.0,True,False
repeat_04_outer_03,4,3,primary_floor15_se0p20_trace,sensitivity_floor15_se0p20_dopt,10,0,0.0,False,False
repeat_04_outer_03,4,3,sensitivity_floor12_se0p20_trace,sensitivity_floor15_se0p20_dopt,10,0,0.0,False,False
repeat_04_outer_04,4,4,primary_floor15_se0p20_trace,sensitivity_floor12_se0p20_trace,11,11,1.0,True,False
repeat_04_outer_04,4,4,primary_floor15_se0p20_trace,sensitivity_floor15_se0p20_dopt,11,0,0.0,False,False
repeat_04_outer_04,4,4,sensitivity_floor12_se0p20_trace,sensitivity_floor15_se0p20_dopt,11,0,0.0,False,False
