model,split
FlofloB/10k_continued_pretraining_Qwen2.5-0.5B-Instruct_Unsloth_merged_16bit,train
FlofloB/40k_continued_pretraining_Qwen2.5-0.5B-Instruct_Unsloth_merged_16bit,train
FlofloB/83k_continued_pretraining_Qwen2.5-0.5B-Instruct_Unsloth_merged_16bit,train
FuJhen/mistral_7b_v0.1_structedData_e2e,train
FuseAI/FuseChat-Llama-3.2-3B-Instruct,train
Goekdeniz-Guelmez/Josiefied-Qwen2.5-0.5B-Instruct-abliterated-v1,train
Goekdeniz-Guelmez/Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v1,train
Goekdeniz-Guelmez/Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v2,train
Goekdeniz-Guelmez/Josiefied-Qwen2.5-1.5B-Instruct-abliterated-v3,train
Goekdeniz-Guelmez/j.o.s.i.e.v4o-1.5b-dpo-stage1-v1,train
Goekdeniz-Guelmez/josie-3b-v6.0,train
HarbingerX/Zeitgeist-3b-V1,train
HarbingerX/Zeitgeist-3b-V1.2,train
Hastagaras/L3.2-JametMini-3B-MK.III,train
HelpingAI/Priya-3B,train
HuggingFaceTB/SmolLM-1.7B,train
HuggingFaceTB/SmolLM-1.7B-Instruct,train
HuggingFaceTB/SmolLM-360M,train
HuggingFaceTB/SmolLM-360M-Instruct,train
HuggingFaceTB/SmolLM2-1.7B,train
HuggingFaceTB/SmolLM2-1.7B-Instruct,train
HuggingFaceTB/SmolLM2-360M,train
HuggingFaceTB/SmolLM2-360M-Instruct,train
IlyaGusev/gemma-2-2b-it-abliterated,train
Invalid-Null/PeiYangMe-0.5,train
Invalid-Null/PeiYangMe-0.7,train
JayHyeon/Qwen-0.5B-DPO-1epoch,train
JayHyeon/Qwen-0.5B-IRPO-1epoch,train
JayHyeon/Qwen-0.5B-IRPO-5epoch,train
JayHyeon/Qwen-0.5B-eDPO-1epoch,train
JayHyeon/Qwen-0.5B-eDPO-5epoch,train
JayHyeon/Qwen2.5-0.5B-Instruct-SFT,train
JayHyeon/Qwen2.5-0.5B-Instruct-SFT-DPO-1epoch_v1,train
JayHyeon/Qwen2.5-0.5B-Instruct-SFT-IRPO-1epoch_v1,train
JayHyeon/Qwen2.5-0.5B-Instruct-SFT-MDPO-1epoch_v1,train
JayHyeon/Qwen2.5-0.5B-SFT-1e-4,train
JayHyeon/Qwen2.5-0.5B-SFT-1e-4-2ep,train
JayHyeon/Qwen2.5-0.5B-SFT-1e-4-3ep,train
JayHyeon/Qwen2.5-0.5B-SFT-1e-4-5ep,train
JayHyeon/Qwen2.5-0.5B-SFT-1e-5,train
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-3ep,train
JayHyeon/Qwen2.5-0.5B-SFT-1e-5-5ep,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-4,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-4-2ep,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-4-3ep,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-4-5ep,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_3e-7-3ep_0alp_5lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-6-2ep_0alp_5lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-1ep_0alp_5lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPOP_5e-7-2ep_0alp_5lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-1ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-6-2ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-7-2ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_1e-7-3ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_2e-6-1ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_2e-6-2ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_2e-6-3ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-1ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-6-3ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_3e-7-3ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-6-1ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-6-2ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-6-3ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_2ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_5e-7_3ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_7e-7_1ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_7e-7_2ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-DPO_7e-7_3ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_1e-7-1ep_1alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_1e-7-2ep_1alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_1e-7-3ep_1alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_3e-7-3ep_1alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-6-1ep_1alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-6-2ep_1alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-6-3ep_1alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-1ep_1alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-IRPO_5e-7-3ep_1alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_0.5_1e-7-1ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_0.5_1e-7-2ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_0.5_1e-7-3ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6-3ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_1e-6_2ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6-3ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_2e-6_1ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_3e-6-2ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-6-1ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-6-2ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-6-3ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-7-3ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-7_1ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_5e-7_2ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_7e-7-3ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_7e-7_1ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-2ep-MDPO_7e-7_2ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-3ep,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_5e-7_3ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_5e-7_3ep_0alp_0lam_1ep,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_5e-7_3ep_0alp_0lam_2ep,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_7e-7_3ep_0alp_0lam,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_7e-7_3ep_0alp_0lam_1ep,train
JayHyeon/Qwen2.5-0.5B-SFT-2e-5-5ep-MDPO_7e-7_3ep_0alp_0lam_2ep,train
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-2ep,train
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-3ep,train
JayHyeon/Qwen2.5-0.5B-SFT-5e-5-5ep,train
JayHyeon/Qwen2.5-0.5B-SFT-7e-5-2ep,train
JayHyeon/Qwen2.5-0.5B-SFT-7e-5-3ep,train
JayHyeon/Qwen2.5-0.5B-SFT-7e-5-5ep,train
JayHyeon/Qwen2.5-0.5B-SFT-DPO-1epoch_v1,train
JayHyeon/Qwen2.5-0.5B-SFT-MDPO-1epoch_v1,train
JayHyeon/Qwen_0.5-DPOP_1e-6-3ep_0alp_5lam,train
JayHyeon/Qwen_0.5-DPOP_1e-7-3ep_0alp_5lam,train
JayHyeon/Qwen_0.5-DPOP_3e-6-1ep_0alp_5lam,train
JayHyeon/Qwen_0.5-DPOP_3e-6-2ep_0alp_5lam,train
JayHyeon/Qwen_0.5-DPOP_3e-6-3ep_0alp_5lam,train
JayHyeon/Qwen_0.5-DPOP_3e-7-1ep_0alp_5lam,train
JayHyeon/Qwen_0.5-DPOP_3e-7-2ep_0alp_5lam,train
JayHyeon/Qwen_0.5-DPOP_3e-7-3ep_0alp_5lam,train
JayHyeon/Qwen_0.5-DPOP_5e-7-1ep_0alp_5lam,train
JayHyeon/Qwen_0.5-DPOP_5e-7-2ep_0alp_5lam,train
JayHyeon/Qwen_0.5-DPOP_5e-7-3ep_0alp_5lam,train
JayHyeon/Qwen_0.5-DPO_1e-6-3ep_0alp_0lam,train
JayHyeon/Qwen_0.5-DPO_1e-7-3ep_0alp_0lam,train
JayHyeon/Qwen_0.5-DPO_3e-6-1ep_0alp_0lam,train
JayHyeon/Qwen_0.5-DPO_3e-6-2ep_0alp_0lam,train
JayHyeon/Qwen_0.5-DPO_3e-6-3ep_0alp_0lam,train
JayHyeon/Qwen_0.5-DPO_3e-7-1ep_0alp_0lam,train
JayHyeon/Qwen_0.5-DPO_3e-7-2ep_0alp_0lam,train
JayHyeon/Qwen_0.5-DPO_3e-7-3ep_0alp_0lam,train
JayHyeon/Qwen_0.5-DPO_5e-7-1ep_0alp_0lam,train
JayHyeon/Qwen_0.5-DPO_5e-7-2ep_0alp_0lam,train
JayHyeon/Qwen_0.5-DPO_5e-7-3ep_0alp_0lam,train
JayHyeon/Qwen_0.5-IPO_5e-7-3ep_0alp_0lam,train
JayHyeon/Qwen_0.5-IRPO_1e-6-3ep_1alp_0lam,train
JayHyeon/Qwen_0.5-IRPO_1e-7-3ep_1alp_0lam,train
JayHyeon/Qwen_0.5-IRPO_3e-6-1ep_1alp_0lam,train
JayHyeon/Qwen_0.5-IRPO_3e-6-2ep_1alp_0lam,train
JayHyeon/Qwen_0.5-IRPO_3e-6-3ep_1alp_0lam,train
JayHyeon/Qwen_0.5-IRPO_3e-7-1ep_1alp_0lam,train
JayHyeon/Qwen_0.5-IRPO_3e-7-3ep_1alp_0lam,train
JayHyeon/Qwen_0.5-IRPO_5e-7-1ep_1alp_0lam,train
JayHyeon/Qwen_0.5-IRPO_5e-7-2ep_1alp_0lam,train
JayHyeon/Qwen_0.5-IRPO_5e-7-3ep_1alp_0lam,train
JayHyeon/Qwen_0.5-MDPO_0.1_3e-6-3ep_0alp_0lam,train
JayHyeon/Qwen_0.5-MDPO_0.1_5e-7-3ep_0alp_0lam,train
JayHyeon/Qwen_0.5-MDPO_0.3_3e-6-3ep_0alp_0lam,train
JayHyeon/Qwen_0.5-MDPO_0.3_5e-7-3ep_0alp_0lam,train
JayHyeon/Qwen_0.5-MDPO_0.5_1e-5-3ep_0alp_0lam,train
JayHyeon/Qwen_0.5-MDPO_0.5_3e-7-2ep_0alp_0lam,train
JayHyeon/Qwen_0.5-MDPO_0.5_3e-7-3ep_0alp_0lam,train
JayHyeon/Qwen_0.5-MDPO_0.5_4e-6-3ep_0alp_0lam,train
JayHyeon/Qwen_0.5-MDPO_0.5_6e-6-3ep_0alp_0lam,train
JayHyeon/Qwen_0.5-MDPO_0.5_7e-6-3ep_0alp_0lam,train
JayHyeon/Qwen_0.5-MDPO_0.5_7e-7-3ep_0alp_0lam,train
JayHyeon/Qwen_0.5-MDPO_0.7_3e-6-3ep_0alp_0lam,train
JayHyeon/Qwen_0.5-MDPO_0.7_5e-7-3ep_0alp_0lam,train
JayHyeon/Qwen_0.5-MDPO_0.9_5e-7-3ep_0alp_0lam,train
JayHyeon/Qwen_0.5-VDPO_3e-6-1ep_3vpo_const,train
JayHyeon/Qwen_0.5-VDPO_5e-7-1ep_0alp_0lam,train
JayHyeon/Qwen_0.5-VDPO_5e-7-1ep_10vpo_const,train
JayHyeon/Qwen_0.5-VDPO_5e-7-1ep_1vpo_const,train
JayHyeon/Qwen_0.5-VDPO_5e-7-1ep_3vpo_const,train
JayHyeon/Qwen_0.5-VDPO_5e-7-3ep_0alp_0lam,train
JayHyeon/Qwen_0.5-VDPO_5e-7-3ep_1vpo_const,train
JayHyeon/Qwen_0.5-VDPO_5e-7-3ep_3vpo_const,train
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_0alp_0lam,train
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_10vpo_const,train
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_1vpo_const,train
JayHyeon/Qwen_0.5-VIPO_5e-7-1ep_30vpo_const,train
JayHyeon/Qwen_0.5-VIPO_5e-7-3ep_0alp_0lam,train
JayHyeon/Qwen_0.5-VIPO_5e-7-3ep_10vpo_const,train
JayHyeon/Qwen_0.5-VIPO_5e-7-3ep_1vpo_const,train
JayHyeon/Qwen_0.5-VIPO_5e-7-3ep_30vpo_const,train
JayHyeon/Qwen_0.5-VIPO_5e-7-3ep_3vpo_const,train
JayHyeon/Qwen_0.5-cDPO_5e-7-3ep_0vpo_const_0.1,train
JayHyeon/Qwen_0.5-cDPO_5e-7-3ep_0vpo_const_0.3,train
JayHyeon/Qwen_0.5-rDPO_3e-6-1ep_0vpo_const_0.1,train
JayHyeon/Qwen_0.5-rDPO_5e-7-3ep_0vpo_const_0.3,train
Josephgflowers/Cinder-Phi-2-V1-F16-gguf,train
Josephgflowers/Differential-Attention-Liquid-Metal-Tinyllama,train
Josephgflowers/TinyLlama-Cinder-Agent-v1,train
Josephgflowers/TinyLlama-v1.1-Cinders-World,train
Josephgflowers/TinyLlama_v1.1_math_code-world-test-1,train
Josephgflowers/Tinyllama-STEM-Cinder-Agent-v1,train
Josephgflowers/Tinyllama-r1,train
Kimargin/GPT-NEO-1.3B-wiki,train
KingNish/Qwen2.5-0.5b-Test-ft,train
KingNish/Reasoning-0.5b,train
KingNish/Reasoning-Llama-3b-v0.1,train
KingNish/qwen-1b-continued,train
KingNish/qwen-1b-continued-v2,train
KingNish/qwen-1b-continued-v2.1,train
KingNish/qwen-1b-continued-v2.2,train
L-RAGE/3_PRYMMAL-ECE-7B-SLERP-V1,train
LEESM/llama-2-7b-hf-lora-oki100p,train
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,train
LLM4Binary/llm4decompile-1.3b-v2,train
Lawnakk/BBALAW1.0,train
Lawnakk/BBALAW1.2,train
Lawnakk/BBALAW1.3,train
LenguajeNaturalAI/leniachat-gemma-2b-v0,train
LenguajeNaturalAI/leniachat-qwen2-1.5B-v0,train
Lil-R/2_PRYMMAL-ECE-2B-SLERP-V1,train
Lil-R/2_PRYMMAL-ECE-2B-SLERP-V2,train
Lil-R/PRYMMAL-ECE-1B-SLERP-V1,train
LilRg/ECE-1B-merge-PRYMMAL,train
LilRg/PRYMMAL-6B-slerp,train
LilRg/PRYMMAL-slerp-Merge,train
Locutusque/TinyMistral-248M-v2.5,train
Lyte/Llama-3.2-1B-Instruct-COT-RL-Expriement1-EP04,train
Lyte/Llama-3.2-3B-Overthinker,train
M4-ai/TinyMistral-248M-v3,train
MEscriva/ECE-PRYMMAL-0.5B-FT-V5-MUSR-Mathis,train
MTSAIR/Cotype-Nano,train
Marsouuu/MiniMathExpert-2_61B-ECE-PRYMMAL-Martial,train
Marsouuu/MiniQwenMathExpert-ECE-PRYMMAL-Martial,train
Marsouuu/general3B-ECE-PRYMMAL-Martial,train
Marsouuu/lareneg1_78B-ECE-PRYMMAL-Martial,train
Marsouuu/lareneg3B-ECE-PRYMMAL-Martial,train
MaziyarPanahi/calme-2.1-phi3-4b,train
MaziyarPanahi/calme-2.1-phi3.5-4b,train
MaziyarPanahi/calme-2.2-phi3-4b,train
MaziyarPanahi/calme-3.1-baguette-3b,train
MaziyarPanahi/calme-3.1-instruct-3b,train
MaziyarPanahi/calme-3.1-llamaloi-3b,train
MaziyarPanahi/calme-3.2-baguette-3b,train
MaziyarPanahi/calme-3.2-instruct-3b,train
MaziyarPanahi/calme-3.3-baguette-3b,train
MaziyarPanahi/calme-3.3-instruct-3b,train
ModelCloud/Llama-3.2-1B-Instruct-gptqmodel-4bit-vortex-v1,train
MoonRide/Llama-3.2-3B-Khelavaster,train
Mostafa8Mehrabi/llama-3.2-1b-Insomnia-ChatBot-merged,train
MrRobotoAI/MrRoboto-ProLong-8b-v4i,train
MrRobotoAI/MrRoboto-ProLongBASE-pt8-unaligned-8b,train
MultivexAI/Gladiator-Mini-Exp-1211-3B,train
MultivexAI/Gladiator-Mini-Exp-1221-3B-Instruct,train
MultivexAI/Gladiator-Mini-Exp-1221-3B-Instruct-V2,train
MultivexAI/Gladiator-Mini-Exp-1222-3B-Instruct,train
MultivexAI/Phi-3.5-Mini-Instruct-MultiVex-v0.25-GGUF,train
Mxode/NanoLM-0.3B-Instruct-v1,train
Mxode/NanoLM-0.3B-Instruct-v1.1,train
Mxode/NanoLM-0.3B-Instruct-v2,train
Mxode/NanoLM-1B-Instruct-v1.1,train
Mxode/NanoLM-1B-Instruct-v2,train
NTQAI/NxMobileLM-1.5B-SFT,train
NYTK/PULI-LlumiX-32K,train
Nexesenex/Dolphin3.0-Llama3.1-1B-abliterated,train
Nexesenex/Llama_3.2_1b_AquaSyn_0.1,train
Nexesenex/Llama_3.2_1b_Dolto_0.1,train
Nexesenex/Llama_3.2_1b_Odyssea_V1,train
Nexesenex/Llama_3.2_1b_Odyssea_V1.01,train
Nexesenex/Llama_3.2_1b_OpenTree_R1_0.1,train
Nexesenex/Llama_3.2_1b_OrcaSun_V1,train
Nexesenex/Llama_3.2_1b_RandomLego_RP_R1_0.1,train
Nexesenex/Llama_3.2_1b_SunOrca_V1,train
Nexesenex/Llama_3.2_1b_Sydonia_0.1,train
Nexesenex/Llama_3.2_1b_Syneridol_0.2,train
Nexesenex/Llama_3.2_1b_Synopsys_0.1,train
Nexesenex/Llama_3.2_1b_Synopsys_0.11,train
Nexesenex/Llama_3.2_3b_Kermes_v1,train
Nexesenex/Llama_3.2_3b_Kermes_v2,train
Nexesenex/Llama_3.2_3b_Kermes_v2.1,train
Nexesenex/Nemotron_W_4b_Halo_0.1,train
Nexesenex/Nemotron_W_4b_MagLight_0.1,train
NikolaSigmoid/AceMath-1.5B-Instruct-1epoch,train
NikolaSigmoid/AceMath-1.5B-Instruct-dolphin-r1-200,train
NikolaSigmoid/DeepSeek-R1-Distill-Qwen-1.5B-500,train
NikolaSigmoid/acemath-200,train
NotASI/FineTome-Llama3.2-1B-0929,train
NotASI/FineTome-Llama3.2-3B-1002,train
NotASI/FineTome-v1.5-Llama3.2-3B-1007,train
Novaciano/BLAST_PROCESSING-3.2-1B,train
Novaciano/Cerberus-3.2-1B,train
Novaciano/Cultist-3.2-1B,train
Novaciano/FuseChat-3.2-1B-GRPO_Creative_RP,train
Novaciano/Fusetrix-3.2-1B-GRPO_RP_Creative,train
Novaciano/Fusetrix-Dolphin-3.2-1B-GRPO_Creative_RP,train
Novaciano/HarmfulProject-3.2-1B,train
Novaciano/LEWD-Mental-Cultist-3.2-1B,train
Novaciano/La_Mejor_Mezcla-3.2-1B,train
Novaciano/Sigil-Of-Satan-3.2-1B,train
OEvortex/HelpingAI-3B-reloaded,train
OliveiraJLT/Sagui-7B-Instruct-v0.1,train
Omkar1102/code-yi,train
OpenBuddy/openbuddy-llama3.2-1b-v23.1-131k,train
OpenBuddy/openbuddy-llama3.2-3b-v23.2-131k,train
OpenBuddy/openbuddy-zero-3b-v21.2-32k,train
OpenLLM-France/Lucie-7B,train
OpenLLM-France/Lucie-7B-Instruct,train
OpenLLM-France/Lucie-7B-Instruct-human-data,train
OpenLLM-France/Lucie-7B-Instruct-v1.1,train
PJMixers-Dev/L3.2-Instruct-Thinking-v0.1-1B,train
PJMixers-Dev/LLaMa-3.1-RomboTiesTest-8B,train
PJMixers-Dev/LLaMa-3.1-RomboTiesTest2-8B,train
PJMixers-Dev/LLaMa-3.2-Instruct-JankMix-v0.1-SFT-3B,train
PJMixers-Dev/LLaMa-3.2-Instruct-JankMix-v0.2-SFT-3B,train
PJMixers-Dev/Qwen2.5-RomboTiesTest-7B,train
Pinkstack/PARM-V1.5-base-QwQ-Qwen-2.5-o1-3B,train
Pinkstack/Superthoughts-lite-1.8B-experimental-o1,train
Pinkstack/Superthoughts-lite-v1,train
