model,mean_scenarios,online_ability_sd,online_ability_mean,full_ability,batch_ability_sd,batch_ability_mean,mwle_ability_sd,mwle_ability_mean
Qwen/Qwen2-0.5B,9.0,0.33591563442849753,-1.613534,-2.021591911460251,0.4292865858935213,-1.9464226842445709,0.5097821485975959,-2.049338000635185
Qwen/Qwen2.5-0.5B-Instruct,10.5,0.0541475467402206,-0.330173625,-0.2027676970630159,0.09035721504599403,-0.3722897183713685,0.08335579923539647,-0.34069146213386814
ai-forever/mGPT,9.0,0.3980920745399039,-1.8770956250000002,-5.129195658402103,0.3261743052711922,-2.508785022875286,0.3548973560357047,-2.804392031379805
allenai/OLMo-1B-hf,8.75,0.4706885664230218,-2.051172875,-5.129195658402107,0.3520842060306008,-2.6793160388054513,0.37630654959919996,-2.9955752132593894
allenai/OLMo-2-0425-1B,9.5,0.200302609720229,-1.0879823750000002,-1.2758659318008387,0.19181462992089365,-1.2270768583978677,0.19855244083669535,-1.2516450323198116
allenai/OLMo-2-0425-1B-DPO,10.25,0.05973564139803285,0.020518375,0.19859745603508658,0.06877956569259215,-0.04394517164501187,0.053479396238589785,-0.0020939442962163643
allenai/OLMo-2-0425-1B-Instruct,10.125,0.03423660657103737,0.18684699999999999,0.2008909089615533,0.056801603924877396,0.17125659717059946,0.0429106304719461,0.17730543639035884
arcee-ai/raspberry-3B,11.75,0.0813744947118529,1.255793875,1.1999357151619114,0.07975649723827445,1.2494606486155608,0.08041537952018712,1.2714723529683352
google/gemma-2-2b,9.75,0.2693421478688573,-1.2015241250000002,-1.211442994531723,0.3322316108776448,-1.668977833074459,0.4318353647186994,-1.7083401056836407
google/gemma-2b,10.75,0.13050802419385707,-1.046168625,-1.3082841734634267,0.1378074898600303,-1.3192088087421898,0.12132872714518943,-1.3304068029329836
h2oai/h2o-danube-1.8b-chat,10.375,0.18815406046309494,-0.924542,-1.2530546570042613,0.176292936080042,-1.1104905848901807,0.1640210565394284,-1.1120306449109725
h2oai/h2o-danube2-1.8b-base,9.125,0.09810153647497066,-0.9392670000000001,-1.3137266657789781,0.0722527953902835,-0.9707977786013012,0.060186622403025476,-1.0269458980637698
h2oai/h2o-danube2-1.8b-chat,10.75,0.09638681682216389,-0.919816875,-0.7124180761566541,0.16741694201675497,-1.0256665315744633,0.14097997133112264,-1.0678718640758162
ibm-granite/granite-3.0-2b-base,9.75,0.049403896672605696,0.86996075,0.7811772198586089,0.06711999743533059,0.8476880390796286,0.05250723081758561,0.9028118651851329
ibm-granite/granite-3.1-2b-base,11.0,0.08184065704923199,1.059454,0.9477075578147052,0.07771370152980925,1.0621088190284085,0.0642933594651741,1.0906343599887423
ibm-granite/granite-3.1-2b-instruct,11.25,0.24844712880004147,1.9682036250000001,2.198979644842215,0.23190888346434635,2.4419869514120682,0.29669232744813895,2.4041455975099524
ibm-granite/granite-7b-instruct,10.25,0.06889345973936405,0.475421875,0.21701734514423496,0.0708888616748034,0.45704887414989015,0.09007264031472531,0.4699888956237646
ibm/PowerLM-3b,10.75,0.07832299295704934,-0.0986225,0.03988246556363799,0.09208550511328611,-0.1414034296170558,0.08211590144254263,-0.09605459852578016
meta-llama/Llama-3.2-1B,10.375,0.12200636245602114,-0.6848875,-1.4327100479942891,0.09270250477473974,-0.8800353996118155,0.10875961144998686,-0.8902870719252272
meta-llama/Llama-3.2-1B-Instruct,10.625,0.060761412703576725,-0.264952625,0.018256013375822663,0.07421881406846656,-0.314507539791738,0.07123360415227893,-0.25909047150880143
meta-llama/Llama-3.2-3B-Instruct,11.375,0.06277352759411703,1.317970125,1.4000347918116143,0.06437084038860222,1.3539922759227137,0.061487486053526476,1.3660427731062
microsoft/phi-1_5,10.0,0.1288987377211638,-1.005327875,-1.1702357116226318,0.13574995139127968,-1.1557356697043975,0.11865487572828191,-1.1690486755104788
nvidia/AceInstruct-1.5B,11.5,0.09770034084350732,1.29364275,1.4000753145297569,0.07362301815871639,1.3462968011284193,0.07473293723649065,1.3536059635851483
openbmb/MiniCPM-1B-sft-bf16,9.0,0.24855400399683641,-1.587775875,-2.789558755282348,0.2905573045163295,-2.04321289017674,0.3984866602489649,-2.2185488987613446
openbmb/MiniCPM-2B-sft-bf16,10.375,0.1511411589346508,-0.6796751249999999,-0.919447665996554,0.12222911520925359,-0.8276006636341218,0.13058931840307791,-0.8441044854556556
openlm-research/open_llama_3b,9.5,0.18531076546199193,-1.599577875,-2.2508411974394713,0.13933014827351337,-2.1200206351601576,0.2175070192974476,-2.2950287739294013
pankajmathur/orca_mini_3b,10.0,0.20418322217125084,-0.953070375,-1.185563777919145,0.17239256337444614,-1.018094981617282,0.1689742294051133,-1.0460831416199858
pankajmathur/orca_mini_v9_5_3B-Instruct,11.0,0.03646060121898706,1.069577,1.1520681164764353,0.04653634360379316,1.0721781257902938,0.038803741772084344,1.0972514862450349
stabilityai/stablelm-2-1_6b-chat,10.0,0.06446695286491753,0.05594825,-0.18883277817354963,0.0550417894236691,0.009755382394057375,0.04549899477294345,0.040803029421703926
stabilityai/stablelm-2-zephyr-1_6b,10.25,0.20489414252898375,-0.34545375,-0.43949124228417147,0.20303167856443943,-0.483106306983887,0.2379633753375678,-0.42937193615769115
stabilityai/stablelm-zephyr-3b,10.0,0.05822349572109506,-0.35751262500000003,0.012800903495526848,0.06576400895350339,-0.407650602960567,0.06330261047129057,-0.3745289824061807
tiiuae/Falcon3-1B-Instruct,10.125,0.10496363704628561,0.892699625,0.8353731432742934,0.10487852085012246,0.8741874102031704,0.08975017454152472,0.9274679960639153
tiiuae/Falcon3-3B-Base,12.5,0.06637424389482247,1.3169888749999998,1.3995280598627153,0.0833231138381104,1.3364520954756522,0.07982090450832688,1.3495395055633503
tiiuae/Falcon3-3B-Instruct,10.875,0.19681902899602338,1.99803175,2.5478153605121308,0.10264943772749795,2.475071500446772,0.15925837071100346,2.3730993051908813
utter-project/EuroLLM-1.7B,9.625,0.28779828682635944,-1.5689142500000002,-2.23805789498708,0.1884441298173622,-2.0816358495100213,0.2546261477793583,-2.2867992630320115
utter-project/EuroLLM-1.7B-Instruct,10.25,0.06232548199961535,-0.890735625,-1.0905076517769126,0.05418479065804286,-0.9569060429995677,0.04126447091772442,-1.0057971793261538
