model,fold,scenarios_administered,criteria_administered,theta_ref_overall,theta_online_overall,theta_batch_overall,theta_mwle_overall,theta_mle_overall,obs_pass_rate,pred_pass_rate
HuggingFaceTB/SmolLM2-360M,1,10,93,-2.8812530338099673,-2.380955,-2.5376084842387936,-2.5635160381046735,-2.573964180472856,0.030002419549963705,0.04989245517045174
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,4,8,50,2.40261392572633,2.177196,2.2619511993609493,2.2701113413796072,2.2764073005003347,0.7049222137209895,0.6176110230239917
OpenBMB/MiniCPM4-0.5B,4,8,80,-0.20031489927879573,-0.714273,-0.7337842389183327,-0.7356232204845441,-0.7396548324074921,0.17890844172405,0.13782284535010023
Qwen/Qwen1.5-1.8B,1,11,93,-2.3321626000152036,-2.813779,-3.3224740589157453,-3.423218416203399,-3.493720265820109,0.03822888942656666,0.02994391927057037
Qwen/Qwen1.5-1.8B-Chat,3,8,80,0.16236292697987764,0.461727,0.36932488441118044,0.3654670275144996,0.36872808183180944,0.2636605415860735,0.31504865639363483
Qwen/Qwen2-0.5B,4,8,88,-2.113029390527048,-1.214705,-1.4211441767623583,-1.4147098523260313,-1.4336711124001065,0.04361132364192808,0.09038524286359946
Qwen/Qwen2.5-0.5B-Instruct,4,8,88,0.12576719881372836,-0.074374,-0.09728191760920621,-0.10016345471772044,-0.09913405887385705,0.20594236164243815,0.2019129851368604
ai-forever/mGPT,3,15,141,-5.651145303636935,-3.027511,-4.072955794198795,-4.314072122031542,-4.4431442057064015,0.0025380710659898475,0.02283495404257758
allenai/OLMo-1B-hf,3,19,179,-5.750882138948878,-3.365349,-4.633557566908786,-5.312199585066547,-5.4452365425643645,0.0022963500120860526,0.016539329680658663
allenai/OLMo-2-0425-1B,3,15,146,-2.6484681475343805,-2.628213,-2.757599391128206,-2.784377422483733,-2.8033624482511854,0.04946782776971456,0.047700065541717185
allenai/OLMo-2-0425-1B-DPO,4,8,52,1.5519980004201996,1.37277,1.3798991727297227,1.3929935833118607,1.3922416853530828,0.47022063512307105,0.43553281395793075
allenai/OLMo-2-0425-1B-Instruct,4,8,51,1.5116185631415215,1.469849,1.4938700989453664,1.5031407805289803,1.505099998547837,0.46225452690640145,0.4578973029444019
arcee-ai/raspberry-3B,0,8,85,1.1518320939174218,0.368418,0.3699670356714954,0.36330750021688885,0.36755258236599314,0.41880029261155816,0.2925662190807324
google/gemma-2-2b,2,12,112,-1.5292340265457234,-2.003469,-2.2256670455014738,-2.255783841192876,-2.264477049348334,0.09079709252186768,0.05240288203992621
google/gemma-2b,1,10,100,-2.2701015537223266,-2.260349,-2.3792310534480934,-2.4049745482995135,-2.412019371669262,0.059037019114444714,0.05539418120864876
h2oai/h2o-danube-1.8b-chat,3,8,86,-0.09995210828938389,0.282277,0.25124862401555514,0.25046236433816044,0.25180400524910646,0.23108532753202804,0.2976071500362221
h2oai/h2o-danube2-1.8b-base,4,8,46,-1.0716177050973772,1.22118,0.63205674579088,0.7971042559585787,0.7272289778973495,0.11298138230043356,0.32602651632810514
h2oai/h2o-danube2-1.8b-chat,1,8,93,-0.37619397172912483,-1.106462,-1.119198076282672,-1.1257309289868,-1.1275300306053884,0.19782214156079855,0.12745042279381674
ibm-granite/granite-3.0-2b-base,2,8,72,0.42770209494543254,0.375951,0.32026745535135787,0.31534607148890315,0.3191311973751999,0.3342367869902673,0.2850181216699157
ibm-granite/granite-3.1-2b-base,3,8,93,0.21243071402162383,0.110433,0.05892549393486826,0.059632016024523546,0.059419848632441936,0.3158467303275716,0.2691582568223564
ibm-granite/granite-3.1-2b-instruct,2,8,62,2.0990883012339965,1.42319,1.4996431181764143,1.495860992048895,1.5052727333456337,0.6492546507330295,0.49239480055400364
ibm-granite/granite-7b-instruct,1,8,88,0.30390182577451624,0.818368,0.8191005431888342,0.8264288113498932,0.8268125541006894,0.2902250181466247,0.36979157480538266
ibm/PowerLM-3b,0,8,90,0.15187859328668807,-0.051809,-0.06149406535654811,-0.05800766323367479,-0.059866128324821286,0.28724701292367716,0.2255424872000317
meta-llama/Llama-3.2-1B,0,8,91,-2.3099782687036035,-1.137512,-2.6935628322767995,-3.3872877356235978,-8.0,0.05047549378200439,0.026645080541049335
meta-llama/Llama-3.2-1B-Instruct,1,8,91,0.7652183207563836,0.50717,0.5658036110840735,0.5654474993233748,0.5683184005058568,0.33474473747882894,0.3307064105783292
meta-llama/Llama-3.2-3B-Instruct,0,8,68,2.0138167096256683,1.559605,1.6148515351187742,1.624636066323864,1.6263254471307869,0.5902218970982687,0.5042165162102924
microsoft/phi-1_5,2,8,81,-1.6510393848074787,-1.018857,-1.1398425058734345,-1.154558016654458,-1.158019261037734,0.0677673730901922,0.10833252215081679
nvidia/AceInstruct-1.5B,1,8,80,1.5508415053876448,1.062804,1.0979882263829654,1.1107999528917556,1.1089815448279545,0.47138535995160313,0.41403677077194834
openbmb/MiniCPM-1B-sft-bf16,1,9,88,-2.915673407102557,-2.464818,-2.606655046526466,-2.6271236334044885,-2.6443999369807325,0.023348657149770143,0.04786219774849366
openbmb/MiniCPM-2B-sft-bf16,0,8,76,-0.18772377406350887,0.236339,0.26373484436841704,0.2612143591158342,0.2630750319272077,0.16837356742257986,0.2760771491244327
openlm-research/open_llama_3b,2,9,91,-2.633864487817104,-1.748312,-2.3565786599241085,-2.4058193243850043,-2.4649327860083994,0.03759398496240601,0.04751960561170175
pankajmathur/orca_mini_3b,0,8,77,-0.7170885462498843,-0.1358,-0.1415626549409685,-0.14194545081202936,-0.1420966480782186,0.12618873445501097,0.21299618422064587
pankajmathur/orca_mini_v9_5_3B-Instruct,4,8,47,1.602686238438269,1.376062,1.3485478318505715,1.3719989430999213,1.3671800083391965,0.4973221117061974,0.4313033470980886
stabilityai/stablelm-2-1_6b-chat,2,8,61,0.8004497274016251,0.834107,0.822668341585064,0.8444606414277879,0.8373169384898295,0.3588764321793766,0.3733896404472665
stabilityai/stablelm-2-zephyr-1_6b,0,8,75,0.5033628751613571,0.593237,0.6189003622023436,0.6103222534811961,0.6171711918158482,0.2982199463545477,0.3325164865413385
stabilityai/stablelm-zephyr-3b,2,8,72,1.039524426374886,0.975379,0.9616901509157993,0.9717948516009278,0.9696447098454302,0.4083292262198127,0.3958780364358472
tiiuae/Falcon3-1B-Instruct,1,8,85,0.8032624378504981,0.709896,0.7716104373872028,0.7768718232583859,0.7786560187438426,0.3568836196467457,0.36226312600473753
tiiuae/Falcon3-3B-Base,1,8,96,0.37967491051100477,-0.147971,-0.18564805419631736,-0.1865392812907621,-0.18698337346000302,0.30332728372655776,0.2255368551392181
tiiuae/Falcon3-3B-Instruct,4,8,58,1.9497439543880384,1.711076,1.8011948353632699,1.8157642062087174,1.8150743258799757,0.5974241264983423,0.5217287836475103
utter-project/EuroLLM-1.7B,2,8,86,-2.2649009259745094,-1.256613,-2.21460923975044,-2.282384999924623,-2.361086680788498,0.044351361340396696,0.05149943149131607
utter-project/EuroLLM-1.7B-Instruct,0,8,86,-0.13952787609324652,0.023765,0.0313682899235483,0.030014087359373654,0.030754980458565395,0.18670731707317073,0.23914666173889643
