model,n_admin,theta_general,se_ability_general,se_param_general,se_total_general,bar_inflation_general
ibm-granite/granite-7b-instruct,51,1.184250801859326,0.1318604476926259,0.0700015626664078,0.1492896394310026,1.1321790729772514
ibm/PowerLM-3b,48,0.2390011937580158,0.1171982074296393,0.0632462921248009,0.133174747201774,1.1363206837589757
meta-llama/Llama-3.2-1B,33,-2.3081326846798564,0.4708423354959721,0.2325027535484126,0.5251190677388277,1.1152758113513348
meta-llama/Llama-3.2-1B-Instruct,53,0.8929639670166971,0.1390707440080038,0.0660767565567451,0.1539701581346174,1.107135503105931
meta-llama/Llama-3.2-3B-Instruct,63,2.199132510939517,0.1986198384215734,0.1056474169178605,0.2249693688394671,1.1326631348977658
microsoft/phi-1_5,34,-0.9940889443596796,0.1231524113552841,0.0849458875937031,0.1496072198849479,1.2148135650656806
nvidia/AceInstruct-1.5B,76,1.6989453717875027,0.1411448886438322,0.0874418914407504,0.1660360321406645,1.1763517172743183
openbmb/MiniCPM-1B-sft-bf16,32,-1.9638517324231528,0.3936635883177013,0.1802272164440121,0.4329582777985951,1.0998179426469623
openbmb/MiniCPM-2B-sft-bf16,32,-0.3223538009596942,0.1170191485823189,0.0678701375403308,0.1352768890264492,1.156023528331234
openlm-research/open_llama_3b,74,-2.601438367993062,0.184385238207027,0.0927902330616721,0.2064169165071059,1.1194872133708544
pankajmathur/orca_mini_3b,34,-0.0698932140506375,0.120445951049136,0.0664660020896718,0.1375680070289424,1.14215551316309
pankajmathur/orca_mini_v9_5_3B-Instruct,51,1.780636263599112,0.1908366691153069,0.0985665848922382,0.2147882816550846,1.1255084394986252
stabilityai/stablelm-2-1_6b-chat,54,1.2816971847320304,0.139213254185652,0.0742949195400656,0.1577975450075944,1.1334951253790733
stabilityai/stablelm-2-zephyr-1_6b,56,1.168204650882746,0.123545494346656,0.0704976874564938,0.1422442023777177,1.1513507888729233
stabilityai/stablelm-zephyr-3b,64,1.3490282459503735,0.1407718285700403,0.070017758135309,0.1572233893962583,1.1168668546351412
tiiuae/Falcon3-1B-Instruct,55,1.091199385252902,0.1552111429857138,0.0724259318040898,0.1712775948704978,1.1035135208447169
tiiuae/Falcon3-3B-Base,57,0.3423826870841021,0.1205351632219779,0.0438439754893498,0.1282615287592487,1.0641005108446389
tiiuae/Falcon3-3B-Instruct,66,2.2646171050777304,0.1973524178230198,0.1011433746867165,0.2217610404548313,1.123680383048058
utter-project/EuroLLM-1.7B,33,-1.202746979597022,0.1076955434217658,0.0795367803315749,0.1338821477958232,1.2431540205104252
utter-project/EuroLLM-1.7B-Instruct,33,0.1115858065037947,0.1223042663493708,0.0784206281248303,0.1452863671606899,1.1879092324193254
