"model","fold","is_weak_excluded","length","stop_reason","theta_ref_correctness","theta_ref_scaffolding","theta_mwle_correctness","theta_mwle_scaffolding","sd_stop_correctness","sd_stop_scaffolding","se_total_correctness","se_total_scaffolding"
"BSC-LT/salamandra-7b-instruct","1","True","32","info_plateau","-0.41482512031928864","-0.12612067222742823","-0.947518068807058","-0.2834804870348477","0.27352730489872445","0.25772272896221843","0.585628821947806","0.7714581113359159"
"EleutherAI/pythia-1b","1","False","28","info_plateau","-2.4433103771861666","0.7408943151253687","-4.006438926575903","0.9239702724692199","0.43926258984375394","0.26385093333237897","0.512289495036115","0.307899645891846"
"EleutherAI/pythia-2.8b","1","False","29","info_plateau","-2.4583819443947053","0.6540682224872449","-3.6055367545457564","0.7489740998356869","0.4160379782850713","0.27668745035802594","0.4952497194151457","0.3073368829537325"
"EleutherAI/pythia-410m","1","False","34","info_plateau","-3.55463319822394","0.9737413836671905","-4.517470842259611","0.49376182202187685","0.44892626444688427","0.2549385075668783","0.4969808656963743","0.2691899257558806"
"HuggingFaceTB/SmolLM2-135M","1","False","33","info_plateau","-3.764260042011452","0.2847458441435288","-6.131886644135289","0.5568847879445203","0.48301137236557484","0.2751989591979114","0.6512520979060616","0.3558593686384295"
"LLM360/Amber","1","False","28","info_plateau","-4.749238740629887","0.5521923265719094","-4.0815377013571394","0.9239015835828209","0.43598934783995746","0.27208027553799663","0.5067148607403512","0.3010412305220572"
"OpenBMB/MiniCPM4-0.5B","1","False","33","info_plateau","-0.7160447864771037","-0.2882580035334173","-1.3218325709260497","-0.25966758854484817","0.2973012030783771","0.25043294271581645","0.36496048934165465","0.30544890933596647"
"Qwen/Qwen2.5-1.5B","1","False","24","info_plateau","0.8396446166465196","-1.6524882614486796","0.977629109402024","-1.7654458256144008","0.2569732024612086","0.3743392121268084","0.26980856071193243","0.39223607013429634"
"Qwen/Qwen2.5-3B","1","False","23","precision_reached","1.5970351772149958","-0.5684593336798008","1.2998235064961519","-0.4292854112237608","0.24851299797199825","0.26846900554286396","0.5114018075916732","0.702375233241278"
"Qwen/Qwen2.5-7B-Instruct","1","False","20","precision_reached","2.4774006010571035","0.3335110475025022","2.3404224977014696","0.24396043616769852","0.12027350162714896","0.14059768872911182","0.2948924204973258","0.254748759039358"
"Qwen/Qwen3-0.6B","1","False","21","info_plateau","1.1520978006608227","-1.0305355632212523","1.8075316627561198","-0.7872496680753912","0.25787430801343175","0.29464794211450385","0.31668724729977904","0.3675312373382283"
"Qwen/Qwen3-4B","1","False","20","precision_reached","2.8511303454593357","-0.6995285049325016","2.707270680387746","-0.01709094657253357","0.12177781047579572","0.1548742207982334","0.2571444720612171","0.324107356919909"
"allenai/OLMo-2-0425-1B-DPO","1","False","23","info_plateau","0.2850634317058412","-0.6571865105812358","-0.23198124008096005","-0.5748442804731986","0.2616638441958282","0.29393254892623394","0.3320052087608628","0.32862406133256444"
"bigscience/bloomz-3b","1","False","21","info_plateau","-5.242007107013912","1.1745838116456369","-5.478984737593601","0.9829135127299","0.49025218737223464","0.36617340226527895","0.5415940191434423","0.41070884199448243"
"facebook/opt-1.3b","1","False","32","info_plateau","-1.9304166654410824","0.8492690106578742","-2.0186041658205247","0.7666338101772594","0.33785328747771315","0.26725975767657245","0.4223525815371983","0.3022060010177964"
"h2oai/h2o-danube3-4b-base","1","False","21","info_plateau","0.19592560925389177","-0.48893923589934346","0.2174930539032917","-0.4957544420461616","0.26842750787976044","0.29565806016948754","0.28484072568643787","0.3166416503899811"
"ibm-granite/granite-3.1-2b-base","1","False","23","precision_reached","0.779344279005395","-0.202619579708107","0.5788749424914867","-0.023683883263078572","0.23211188704148775","0.25978939244760446","0.2585166140666095","0.2941022677508201"
"openai-community/gpt2-large","1","False","33","info_plateau","-3.533446104378632","0.9502734969065554","-6.174713223149253","0.9053763961334732","0.4825223444927787","0.2617168599531695","0.6076421173455578","0.3259551260673695"
"openai-community/gpt2-medium","1","False","32","info_plateau","-5.650338585797128","0.9112744105235511","-5.779733309142897","0.8198153337994576","0.48582265993361456","0.29953783081502744","0.631913578672521","0.3428721985697022"
"pankajmathur/orca_mini_3b","1","False","34","info_plateau","-1.9574738174624935","0.4763469138035783","-2.0100224588850906","0.6616553280917681","0.27997949706794706","0.23476755626484266","0.4341185336588602","0.31927186618072156"
"tiiuae/Falcon3-7B-Base","1","False","20","precision_reached","2.1636610437170805","-0.23610273296373716","2.2386336944368592","0.04294101417699205","0.15593169988727593","0.1872462651927229","0.21806555388417895","0.3134413095986443"
"01-ai/Yi-1.5-6B","2","False","29","precision_reached","1.0341980189087296","-0.46446012326732394","0.7995375260977492","-0.4913091791852646","0.24048322497914562","0.2694738831951895","0.26125873079049716","0.30798574629310044"
"BEE-spoke-data/smol_llama-220M-GQA-fineweb_edu","2","False","25","info_plateau","-3.653816927288096","2.8361711493870003","-4.487873615262928","2.6727116099207633","0.45963953180342065","0.3656402578437723","0.48575107768837344","0.4035347607308782"
"BEE-spoke-data/smol_llama-220M-openhermes","2","False","24","info_plateau","-3.6110514114643966","1.050441011957484","-2.6110606524930575","1.3845029728683185","0.35701101428668586","0.2687641301186063","0.44820815259205776","0.29407698467345433"
"BSC-LT/salamandra-2b-instruct","2","False","29","info_plateau","-1.8513879684935544","0.29512058277868025","-2.4420674290262268","0.36631248610432987","0.3627839603507059","0.26316292722138374","0.46574298955286664","0.31946402196787627"
"Qwen/Qwen2-1.5B","2","False","26","info_plateau","-0.379511711177963","-1.0418169560656103","-0.4605737720953413","-1.1310693177094588","0.25183757188503175","0.29656348209867667","0.6409227898362759","0.6444733278923457"
"Qwen/Qwen2.5-0.5B","2","False","21","info_plateau","-1.0901524251744978","-0.9088786633961616","0.1847762262069968","-0.9498637946300343","0.2789055199687325","0.30497120552704793","0.32021062284777485","0.3626679968704419"
"Qwen/Qwen2.5-Coder-7B","2","False","20","info_plateau","1.9654713389176524","0.05865657686586811","2.3259147998233227","-0.6292996054987732","0.18681699354267323","0.31346618730400577","0.34762601857744135","0.513390015879017"
"allenai/OLMo-2-0425-1B","2","False","36","info_plateau","-0.5108922300713981","-0.3664619698081645","-1.0297620541369934","-0.31741009793818015","0.2881055217795072","0.26988789427138765","0.6857706208470156","0.6603037657149581"
"allenai/OLMo-2-0425-1B-Instruct","2","False","25","info_plateau","0.3607335643749915","-1.0432274020515648","0.14687767137700222","-1.0760705580050474","0.2732044454150376","0.2813251294286279","0.3003002277315408","0.3643724069428597"
"bigscience/bloom-3b","2","False","43","info_plateau","-3.4421909930404064","-0.006237563784639198","-4.454993624859493","0.031028488273700392","0.4561164608874172","0.2693896890944908","0.6647088203188249","0.3597972821216218"
"deepseek-ai/deepseek-math-7b-base","2","False","31","info_plateau","-3.9755805562515985","0.7170309402955436","-3.2887850588668517","1.2103250674152937","0.3721568080688665","0.2744687410599055","0.42599539493498284","0.28896861943610425"
"facebook/opt-2.7b","2","False","26","info_plateau","-1.7029521256738607","1.0696639857500658","-2.5624903293159096","1.3900813405528578","0.3385847925613548","0.25838358085491914","0.3614840098016622","0.28331589388476985"
"h2oai/h2o-danube-1.8b-chat","2","False","39","info_plateau","-1.5853743376938414","-0.1827839802705231","-1.810256192620381","-0.664619385345578","0.31234943205518306","0.2704906676180442","0.3749257810457594","0.312064916810883"
"ibm-granite/granite-3.1-2b-instruct","2","False","22","precision_reached","1.4680644978219426","0.0657350334461306","1.2843356108474837","0.06976687841543285","0.23129286851483755","0.2642837538983634","0.2672581681044681","0.2900644183558576"
"meta-llama/Llama-3.2-1B-Instruct","2","False","36","info_plateau","-0.20970092095219248","-1.317636344656591","-0.5074697627783078","-1.0440646912993765","0.2702095608238229","0.26491225239631466","1.0549656065841844","0.6004237010452488"
"meta-llama/Llama-3.2-3B-Instruct","2","False","20","precision_reached","1.2403321797007922","1.105820630213038","0.928951040052294","0.9068316279288431","0.189570816982451","0.2226359932817776","0.25449568404160094","0.3162994629859329"
"microsoft/Phi-3.5-mini-instruct","2","False","23","precision_reached","1.5105682744324438","-0.731567959636878","1.1017685798147354","-1.3098500604663106","0.20809845946203306","0.265926155857703","0.29071431248254015","0.35096663056611677"
"mistralai/Mistral-7B-Instruct-v0.3","2","False","20","precision_reached","1.1935299541459343","0.8226367598093776","0.8751493729710157","0.7091115509788958","0.22781703973951054","0.23432218913703245","0.26568791445619216","0.2588427533165652"
"openai-community/gpt2","2","False","28","info_plateau","-5.2181484407541","1.3311239126698196","-5.502336042031671","1.305309366003546","0.49485091955485133","0.25657681053950854","0.5441651162277255","0.30317825632572587"
"stabilityai/stablelm-2-1_6b","2","False","30","info_plateau","-1.6156914191655505","0.2841748660048901","-2.1350837637773044","0.40407900827577864","0.3555354905398556","0.2607389698086268","0.5322918729669175","0.4077766285422849"
"stabilityai/stablelm-zephyr-3b","2","False","37","precision_reached","-0.6216318145145978","-1.2844016359986423","-0.39433595786565606","-0.7424496174089804","0.2431950628837826","0.2674537870545157","0.3016657625765237","0.33978985356474256"
"togethercomputer/RedPajama-INCITE-7B-Base","2","False","22","info_plateau","-3.5568282732412166","0.49177771562614975","-3.108402679426493","1.1941880923159618","0.4132369900765127","0.2957882086456716","0.47917531992316376","0.32800889302730757"
"togethercomputer/RedPajama-INCITE-Base-3B-v1","2","False","28","info_plateau","-3.4847055344562397","0.9875673342822057","-3.552961453197287","1.4863019852869714","0.4241149681200603","0.26940654794950064","0.46464339725592946","0.30400630751202784"
"EleutherAI/pythia-1.4b","3","False","25","info_plateau","-1.7616148609139655","0.8589694136871938","-3.24780775645819","1.0679740758782617","0.44906429285789357","0.2759344563702732","0.5838135855673737","0.3195590757885208"
"EleutherAI/pythia-70m","3","False","39","info_plateau","-5.532497229440941","0.7468307815461337","-5.935145511970908","0.09602499657190951","0.5114687971371165","0.29033780826732913","0.5953844324910651","0.3284225941418692"
"HuggingFaceH4/zephyr-7b-beta","3","False","21","precision_reached","1.1659345347743195","0.6208198373701576","1.1647639078305263","-0.04423716580944796","0.18364206503720423","0.26169561236176275","0.23726541206658527","0.3234204579716628"
"HuggingFaceTB/SmolLM2-360M","3","False","27","info_plateau","-2.6861692858678534","0.5000678171377716","-2.158076443574263","0.5883037485327177","0.40507591119979725","0.26711279042370156","0.4518571951159485","0.28931489602821214"
"LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct","3","False","20","precision_reached","1.8722326295917329","0.051221110926225215","2.3161552983306923","-0.6988790978273175","0.16306013989136323","0.25205575310327377","0.22475390907166476","0.29731598733247516"
"Qwen/Qwen1.5-1.8B","3","True","34","info_plateau","-3.096516954603927","-0.303944478493639","-3.312731131284782","-0.6363204829292354","0.44174616745714695","0.31035622436396715","1.132468038994754","0.7378178976611254"
"Qwen/Qwen2.5-1.5B-Instruct","3","False","24","info_plateau","1.2602824940714008","-1.0449018365123297","1.3902698838676857","-0.4845591048713911","0.17970514138004123","0.28760164706336816","0.23776692114913464","0.3809835356080288"
"Qwen/Qwen2.5-3B-Instruct","3","False","20","precision_reached","1.9040345101248202","0.5379188895379595","1.1554932904207793","0.7409030858412683","0.19337433810323024","0.20235027045956822","0.23518209742236548","0.2415700792434173"
"Qwen/Qwen2.5-7B","3","False","20","precision_reached","1.856450651303718","0.781351595211852","1.2836408646434714","0.8651581429914927","0.18614954102421827","0.1874310757289602","0.26855817893080747","0.2524987468140713"
"Qwen/Qwen2.5-Math-7B","3","False","25","info_plateau","2.0014947514255286","-0.9166607792477148","2.1546762478879815","-1.5989202407375565","0.14094535127668162","0.2955586587814324","0.2187967566138214","0.37965156235939657"
"Qwen/Qwen3-1.7B","3","False","20","precision_reached","2.565207547701577","-0.9405845676595213","2.7516833168772883","-0.8065802585814053","0.15931805564024146","0.25141241912417595","0.26461180008723273","0.8144725971386076"
"TinyLlama/TinyLlama-1.1B-Chat-v1.0","3","False","35","info_plateau","-1.8224304415358867","-1.1192211217779995","-1.0390966226691738","-1.1449465345219358","0.33805785392977195","0.2991105609641085","0.43675733569988084","0.38820986678905156"
"allenai/OLMo-1B-hf","3","False","30","info_plateau","-4.62142034165405","2.2606014431774275","-5.248426769576026","2.784461498828908","0.5065000699467925","0.3496709472745306","0.5324916192758069","0.37920327739822474"
"arcee-ai/raspberry-3B","3","False","20","precision_reached","1.070783533441031","0.28674845530788856","1.2256946976802885","0.023659654015590757","0.20918330942849864","0.2431650958137717","0.24363373227720186","0.31477025518174256"
"deepseek-ai/deepseek-coder-6.7b-base","3","False","26","info_plateau","-0.3179299802556865","-0.17782442521392625","0.3459444879702746","-0.3097436118993176","0.27410588099683375","0.26123005027190876","0.35055070285672","0.32805419166563743"
"google/gemma-2-2b","3","False","31","info_plateau","-0.5223672300840239","-0.05913429472944919","-0.220182296831819","-0.2675564374969974","0.27947783858923003","0.2663794808123345","0.32682940612779643","0.30332180997029873"
"h2oai/h2o-danube2-1.8b-base","3","False","34","info_plateau","-0.84081470237101","-0.39019129221275056","-0.893022989372801","-0.3538174331082924","0.3164552006418506","0.2687166416313871","0.3823110813816117","0.3344523174433953"
"ibm-granite/granite-3.0-2b-base","3","False","25","precision_reached","0.8739243508952848","0.15086669344244308","0.8624158766188633","-0.2131403569520036","0.2471641345336841","0.2659911017367409","0.2680889056143221","0.3153380569906959"
"lmsys/vicuna-7b-v1.5","3","False","27","precision_reached","0.2704381125765899","0.3109301838838998","-0.3494501765984713","0.4402124883204861","0.2680920003400712","0.26557589907062124","0.32302590079952637","0.3286188899102262"
"nvidia/AceInstruct-1.5B","3","False","27","precision_reached","1.246632616975289","-0.28152951826842654","1.122997984861275","-0.676264617896364","0.1787325775192524","0.2625071596331568","0.2156604208631568","0.3256184171657413"
"openlm-research/open_llama_3b","3","False","22","precision_reached","-1.4278260760648285","1.3620415452834567","-0.4053665078222884","0.9259316318145085","0.25787021729554627","0.26543490971102834","0.29549448199707434","0.2896555285339675"
"pankajmathur/orca_mini_v9_5_3B-Instruct","3","False","24","precision_reached","0.8256284820722634","0.3625352499696667","0.7526655630042028","-0.25192362261896417","0.19637943800743746","0.2657742120162169","0.22633144541767602","0.3082040612195499"
"stabilityai/stablelm-2-zephyr-1_6b","3","False","28","info_plateau","-0.7589765531566437","-1.1349258357238852","-0.42837750558160437","-0.6771124031432217","0.26583932717998476","0.3159168243720646","0.9330271301868093","0.6624878736753335"
"01-ai/Yi-1.5-6B-Chat","4","False","22","precision_reached","1.7550476077851473","-0.48031836908554654","2.147855089654063","-0.5666577854082322","0.15688926362076347","0.26204937929462707","0.18000316883075704","0.35709398535826015"
"01-ai/Yi-6B","4","False","27","info_plateau","-0.5713617140352256","-0.022592429733624818","-0.41555482968447954","-0.09603164649875019","0.2831199465411854","0.25680929771675215","0.3192420989174281","0.2986644726024112"
"BSC-LT/salamandra-7b","4","False","33","info_plateau","-0.6155065299562966","0.8546714537590803","-0.8146699366428501","0.19383463876431098","0.27213397833850106","0.25005051991198846","0.3538031474124744","0.3162747189733054"
"EleutherAI/pythia-6.9b","4","False","38","info_plateau","-1.7505053648059434","0.4845800185014854","-1.95072577894897","0.7942331148641295","0.30405633653813513","0.2613334324177643","0.3721912639620298","0.28472723311291487"
"HuggingFaceTB/SmolLM2-360M-Instruct","4","False","30","info_plateau","-0.9414543147683043","-0.8347740642953203","-1.2503782694891064","-0.344596027694205","0.29519555934002845","0.28676688923795984","0.37275278046034865","0.3396319073770764"
"Qwen/Qwen2-7B","4","False","20","precision_reached","1.6065979176661571","0.0004853036586705782","1.7241925026993288","-0.27649864050050704","0.1884619772352099","0.256402056520027","0.21716283629051722","0.3243164734017718"
"bigscience/bloom-1b1","4","False","34","info_plateau","-3.739032548200036","0.5095162356546176","-3.427655139788813","0.456080740260585","0.44475479108572813","0.2983990711751371","0.5595018345978331","0.34341009014437623"
"bigscience/bloom-7b1","4","False","37","info_plateau","-2.166919795132172","-0.20226184191205385","-1.6733131796361376","-0.3230243233124462","0.3210713677773763","0.2606359250446025","0.4501892383052436","0.3373411484521478"
"deepseek-ai/deepseek-llm-7b-base","4","False","37","info_plateau","-1.5713416405953735","0.034449345282412704","-1.7509638690196436","-0.11698655364145917","0.31068020509639965","0.2670062085649409","0.3913250382187664","0.3251808135528463"
"ibm/PowerLM-3b","4","False","25","precision_reached","0.7201793934786914","-0.2147425011068909","0.8050527888861132","-0.03561653161550914","0.21323156158010348","0.25325335701462387","0.4272048204341126","0.6648464874814185"
"meta-llama/Llama-3.2-3B","4","False","25","precision_reached","0.0997943477188353","-0.21282580917009994","-0.20106842698553193","0.09167690764007368","0.26234292608267185","0.2675061689428362","0.28735528988831227","0.3246382295164087"
"microsoft/Phi-3-mini-4k-instruct","4","False","20","precision_reached","0.8188085280319719","0.6188228052122047","1.5396349711994057","-0.02814802258626022","0.17692813208279243","0.2582190419574331","0.20720380160934265","0.282353683665844"
"microsoft/phi-1_5","4","False","32","precision_reached","-1.6888076982118467","0.06969839704400199","-0.6938628973393731","-0.20810229903261954","0.26814941924233576","0.2629508760946276","0.3612519033725024","0.3585722954322605"
"mistralai/Mistral-7B-v0.1","4","False","22","precision_reached","0.8768473754203893","0.26770853019659535","-0.02340533750857618","0.5994708456228013","0.2692149005966776","0.2603671572606391","0.3052818587675555","0.289131389707094"
"mistralai/Mistral-7B-v0.3","4","False","20","precision_reached","1.0168966251468379","0.2829557421402103","0.2170691199516381","0.3012662332688498","0.26420118073529497","0.2672187506031694","0.29507134047388306","0.28821165722285497"
"openbmb/MiniCPM-2B-sft-bf16","4","False","31","info_plateau","-1.8353218990367595","0.3841071086148189","-1.7762529307826946","0.49074998097622125","0.32157060238502955","0.2619351348431423","0.37113154220872646","0.32015466069504694"
"stabilityai/stablelm-2-1_6b-chat","4","False","24","info_plateau","-0.39124180415314","-0.8898320859343287","-0.328751938245653","-0.9477364970401175","0.3259155954003564","0.2644498821876198","0.38341828703652925","0.31913095169071815"
"stabilityai/stablelm-3b-4e1t","4","False","23","info_plateau","-1.3901021393051003","-0.1609484867542874","-1.1421274416688951","0.14173744398963317","0.35306089098144183","0.2956842245469758","0.40571718693705083","0.3457855371254595"
"tiiuae/Falcon3-1B-Base","4","False","23","info_plateau","0.5752437719467173","-0.8897116834866987","0.4250242732953469","-1.110244467065446","0.20816764467736731","0.27418612554914223","0.29065498079682256","0.31727161576640217"
"tiiuae/Falcon3-1B-Instruct","4","False","20","precision_reached","0.9561410919046723","-0.889505868228908","0.803253618319109","-1.179915529418052","0.24316460232678466","0.2536269911817574","0.2749379251030216","0.38165379887616735"
"tiiuae/Falcon3-3B-Base","4","False","20","precision_reached","1.7544835179564595","-0.8021579940159081","2.0107373667574864","-0.782120458971521","0.18713397604587678","0.2555060158685037","0.21771835071238185","0.29067454793261327"
"tiiuae/Falcon3-3B-Instruct","4","False","20","precision_reached","2.109566393500858","-0.6112130760231547","2.0328441822088585","-0.9858475436135116","0.18245642380664512","0.25359365041909665","0.22580665497837485","0.29055453645337054"
"utter-project/EuroLLM-1.7B","4","False","28","info_plateau","-2.630128971851196","1.1725983276907128","-2.5740917059379633","0.7321473185390778","0.3994241016384598","0.31864782884141124","0.4436751413413336","0.3512620096859196"
