model,candidate_id,minimum_scenarios,conditional_se_target,selector,status,error,cat_replay_success,cat_stop_reason,cat_precision_reached,cat_scenarios_administered,cat_criteria_administered,cat_mwle_converged,cat_scenario_order,baseline_replay_success,baseline_stop_reason,baseline_precision_reached,baseline_scenarios_administered,baseline_criteria_administered,baseline_mwle_converged,baseline_scenario_order,theta_reference,theta_reference_scope,theta_cat_mwle,cat_eval_n_cells,cat_eval_log_loss_sum,cat_eval_brier_sum,cat_eval_correct_count,cat_eval_observed_pass_rate,cat_eval_predicted_pass_rate,theta_baseline_mwle,baseline_eval_n_cells,baseline_eval_log_loss_sum,baseline_eval_brier_sum,baseline_eval_correct_count,baseline_eval_observed_pass_rate,baseline_eval_predicted_pass_rate,outer_fold,inner_fold,fit_cache_key,selected_ridge
ibm/PowerLM-3b,floor_12__se_0p20__selector_trace,12.0,0.2,trace,ok,,True,precision_reached,True,12.0,54.0,True,"[""ifb_0320"", ""ifb_0380"", ""ifb_0035"", ""ifb_0217"", ""ifb_0209"", ""ifb_0052"", ""ifb_0008"", ""ifb_0408"", ""ifb_0324"", ""ifb_0410"", ""ifb_0387"", ""ifb_0430""]",True,precision_reached,True,27.0,126.0,True,"[""ifb_0210"", ""ifb_0243"", ""ifb_0196"", ""ifb_0361"", ""ifb_0218"", ""ifb_0321"", ""ifb_0467"", ""ifb_0406"", ""ifb_0200"", ""ifb_0383"", ""ifb_0310"", ""ifb_0476"", ""ifb_0065"", ""ifb_0405"", ""ifb_0179"", ""ifb_0254"", ""ifb_0100"", ""ifb_0075"", ""ifb_0033"", ""ifb_0347"", ""ifb_0306"", ""ifb_0424"", ""ifb_0323"", ""ifb_0417"", ""ifb_0342"", ""ifb_0469"", ""ifb_0052""]",0.37515523950020546,all_observed_administration_pool_items,-0.009063747165812819,409.0,280.3568791535104,90.62455639017746,269.0,0.6405867970660146,0.4414961861921424,0.04451716467304563,409.0,274.1832743725248,88.6510901000191,272.0,0.6405867970660146,0.45298837332033987,0,,7023b8e414ea02888ac72cc4a1dd06cb5164516ed092c8bf592a65e532f62667,0.1
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,floor_08__se_0p25__selector_dopt,8.0,0.25,dopt,ok,,True,precision_reached,True,8.0,34.0,True,"[""ifb_0052"", ""ifb_0346"", ""ifb_0065"", ""ifb_0017"", ""ifb_0265"", ""ifb_0362"", ""ifb_0261"", ""ifb_0372""]",True,precision_reached,True,29.0,132.0,True,"[""ifb_0281"", ""ifb_0214"", ""ifb_0482"", ""ifb_0225"", ""ifb_0396"", ""ifb_0491"", ""ifb_0174"", ""ifb_0401"", ""ifb_0322"", ""ifb_0081"", ""ifb_0295"", ""ifb_0040"", ""ifb_0239"", ""ifb_0278"", ""ifb_0311"", ""ifb_0472"", ""ifb_0047"", ""ifb_0455"", ""ifb_0005"", ""ifb_0313"", ""ifb_0248"", ""ifb_0068"", ""ifb_0122"", ""ifb_0265"", ""ifb_0091"", ""ifb_0413"", ""ifb_0246"", ""ifb_0177"", ""ifb_0459""]",3.046100913005425,all_observed_administration_pool_items,2.5964214796739267,412.0,114.21546739201541,35.11886724687476,364.0,0.8398058252427184,0.8351395587616095,3.7616380003628587,412.0,146.08449592439067,41.38190737042369,358.0,0.8398058252427184,0.9058897575561842,1,,da84814b42d87e33a919d1e44885462216764d9c8919891a2a1e14751bfafb32,0.1
OpenBMB/MiniCPM4-0.5B,floor_08__se_0p25__selector_dopt,8.0,0.25,dopt,ok,,True,precision_reached,True,8.0,32.0,True,"[""ifb_0195"", ""ifb_0209"", ""ifb_0098"", ""ifb_0207"", ""ifb_0384"", ""ifb_0346"", ""ifb_0101"", ""ifb_0378""]",True,precision_reached,True,16.0,74.0,True,"[""ifb_0416"", ""ifb_0095"", ""ifb_0260"", ""ifb_0332"", ""ifb_0461"", ""ifb_0478"", ""ifb_0107"", ""ifb_0353"", ""ifb_0295"", ""ifb_0069"", ""ifb_0015"", ""ifb_0493"", ""ifb_0356"", ""ifb_0467"", ""ifb_0199"", ""ifb_0296""]",0.5416563713675491,all_observed_administration_pool_items,0.7171923833711087,411.0,206.1346821754536,65.0091212315146,316.0,0.559610705596107,0.5991917646659657,0.725181994869925,411.0,206.41944149215536,65.09294468450521,315.0,0.559610705596107,0.6006872309288314,1,,da84814b42d87e33a919d1e44885462216764d9c8919891a2a1e14751bfafb32,0.1
allenai/OLMo-1B-hf,floor_08__se_0p25__selector_dopt,8.0,0.25,dopt,ok,,True,precision_reached,True,8.0,22.0,True,"[""ifb_0195"", ""ifb_0039"", ""ifb_0254"", ""ifb_0068"", ""ifb_0198"", ""ifb_0143"", ""ifb_0348"", ""ifb_0130""]",True,max_scenarios_reached,False,50.0,196.0,True,"[""ifb_0461"", ""ifb_0093"", ""ifb_0346"", ""ifb_0203"", ""ifb_0082"", ""ifb_0022"", ""ifb_0153"", ""ifb_0263"", ""ifb_0111"", ""ifb_0292"", ""ifb_0397"", ""ifb_0459"", ""ifb_0248"", ""ifb_0174"", ""ifb_0436"", ""ifb_0058"", ""ifb_0331"", ""ifb_0191"", ""ifb_0353"", ""ifb_0100"", ""ifb_0016"", ""ifb_0146"", ""ifb_0109"", ""ifb_0187"", ""ifb_0266"", ""ifb_0393"", ""ifb_0383"", ""ifb_0396"", ""ifb_0232"", ""ifb_0229"", ""ifb_0284"", ""ifb_0209"", ""ifb_0103"", ""ifb_0205"", ""ifb_0243"", ""ifb_0148"", ""ifb_0098"", ""ifb_0170"", ""ifb_0095"", ""ifb_0471"", ""ifb_0200"", ""ifb_0004"", ""ifb_0131"", ""ifb_0371"", ""ifb_0031"", ""ifb_0155"", ""ifb_0296"", ""ifb_0029"", ""ifb_0077"", ""ifb_0290""]",-4.799394994937296,all_observed_administration_pool_items,-3.4767541198417287,412.0,34.40668439800314,7.2981118397074685,406.0,0.014563106796116505,0.04807121118415093,-4.367614365509532,412.0,29.079400498556435,5.760763848006039,407.0,0.014563106796116505,0.02778236260472926,1,,da84814b42d87e33a919d1e44885462216764d9c8919891a2a1e14751bfafb32,0.1
allenai/OLMo-2-0425-1B,floor_08__se_0p25__selector_dopt,8.0,0.25,dopt,ok,,True,precision_reached,True,8.0,23.0,True,"[""ifb_0195"", ""ifb_0039"", ""ifb_0367"", ""ifb_0198"", ""ifb_0025"", ""ifb_0217"", ""ifb_0162"", ""ifb_0254""]",True,precision_reached,True,16.0,66.0,True,"[""ifb_0102"", ""ifb_0227"", ""ifb_0382"", ""ifb_0310"", ""ifb_0371"", ""ifb_0403"", ""ifb_0084"", ""ifb_0348"", ""ifb_0124"", ""ifb_0115"", ""ifb_0233"", ""ifb_0353"", ""ifb_0446"", ""ifb_0472"", ""ifb_0028"", ""ifb_0037""]",-2.0577878189394756,all_observed_administration_pool_items,-1.0762362499921447,412.0,163.31703852708003,51.80196314893074,339.0,0.0970873786407767,0.24049489974391153,-2.1101104011947838,412.0,134.85360004354726,37.358167553698486,366.0,0.0970873786407767,0.11740199291204474,1,,da84814b42d87e33a919d1e44885462216764d9c8919891a2a1e14751bfafb32,0.1
allenai/OLMo-2-0425-1B-DPO,floor_08__se_0p25__selector_dopt,8.0,0.25,dopt,ok,,True,precision_reached,True,8.0,27.0,True,"[""ifb_0032"", ""ifb_0209"", ""ifb_0380"", ""ifb_0378"", ""ifb_0065"", ""ifb_0207"", ""ifb_0139"", ""ifb_0017""]",True,precision_reached,True,30.0,123.0,True,"[""ifb_0048"", ""ifb_0203"", ""ifb_0003"", ""ifb_0050"", ""ifb_0266"", ""ifb_0025"", ""ifb_0396"", ""ifb_0235"", ""ifb_0046"", ""ifb_0449"", ""ifb_0064"", ""ifb_0218"", ""ifb_0214"", ""ifb_0437"", ""ifb_0271"", ""ifb_0094"", ""ifb_0132"", ""ifb_0093"", ""ifb_0386"", ""ifb_0200"", ""ifb_0429"", ""ifb_0403"", ""ifb_0319"", ""ifb_0150"", ""ifb_0298"", ""ifb_0388"", ""ifb_0043"", ""ifb_0217"", ""ifb_0461"", ""ifb_0443""]",1.4554339495895479,all_observed_administration_pool_items,1.0664359970450545,412.0,163.37055991490655,53.06530188715786,331.0,0.6577669902912622,0.6582095914884862,1.3673447329394461,412.0,164.31588059346157,53.842261709610646,336.0,0.6577669902912622,0.7023884267777833,1,,da84814b42d87e33a919d1e44885462216764d9c8919891a2a1e14751bfafb32,0.1
allenai/OLMo-2-0425-1B-Instruct,floor_08__se_0p25__selector_dopt,8.0,0.25,dopt,ok,,True,precision_reached,True,8.0,29.0,True,"[""ifb_0025"", ""ifb_0052"", ""ifb_0384"", ""ifb_0207"", ""ifb_0098"", ""ifb_0209"", ""ifb_0346"", ""ifb_0017""]",True,precision_reached,True,21.0,85.0,True,"[""ifb_0260"", ""ifb_0272"", ""ifb_0188"", ""ifb_0014"", ""ifb_0451"", ""ifb_0025"", ""ifb_0116"", ""ifb_0219"", ""ifb_0131"", ""ifb_0493"", ""ifb_0060"", ""ifb_0166"", ""ifb_0413"", ""ifb_0357"", ""ifb_0356"", ""ifb_0062"", ""ifb_0343"", ""ifb_0242"", ""ifb_0434"", ""ifb_0361"", ""ifb_0384""]",1.421335439302006,all_observed_administration_pool_items,1.2164397240651954,412.0,170.13929439490312,55.36190134400639,334.0,0.6747572815533981,0.6810141090516426,1.7335683557660442,412.0,180.30133779449332,57.679279912067244,327.0,0.6747572815533981,0.7489704852222264,1,,da84814b42d87e33a919d1e44885462216764d9c8919891a2a1e14751bfafb32,0.1
nvidia/AceInstruct-1.5B,floor_08__se_0p25__selector_dopt,8.0,0.25,dopt,ok,,True,precision_reached,True,8.0,27.0,True,"[""ifb_0217"", ""ifb_0021"", ""ifb_0017"", ""ifb_0194"", ""ifb_0372"", ""ifb_0051"", ""ifb_0261"", ""ifb_0443""]",True,precision_reached,True,16.0,77.0,True,"[""ifb_0176"", ""ifb_0440"", ""ifb_0390"", ""ifb_0378"", ""ifb_0286"", ""ifb_0453"", ""ifb_0163"", ""ifb_0006"", ""ifb_0408"", ""ifb_0303"", ""ifb_0297"", ""ifb_0433"", ""ifb_0452"", ""ifb_0471"", ""ifb_0426"", ""ifb_0465""]",2.098540984038647,all_observed_administration_pool_items,2.131491750804427,412.0,141.97898762012102,44.85858816833456,348.0,0.7985436893203883,0.7926031176028743,1.5270288026567758,412.0,151.17881674451644,47.82134910929595,341.0,0.7985436893203883,0.7235314173638189,1,,da84814b42d87e33a919d1e44885462216764d9c8919891a2a1e14751bfafb32,0.1
openbmb/MiniCPM-1B-sft-bf16,floor_08__se_0p25__selector_dopt,8.0,0.25,dopt,ok,,True,precision_reached,True,8.0,28.0,True,"[""ifb_0195"", ""ifb_0320"", ""ifb_0068"", ""ifb_0052"", ""ifb_0217"", ""ifb_0025"", ""ifb_0035"", ""ifb_0413""]",True,precision_reached,True,12.0,64.0,True,"[""ifb_0278"", ""ifb_0475"", ""ifb_0341"", ""ifb_0430"", ""ifb_0065"", ""ifb_0039"", ""ifb_0447"", ""ifb_0306"", ""ifb_0455"", ""ifb_0146"", ""ifb_0064"", ""ifb_0482""]",-1.0796206522024574,all_observed_administration_pool_items,-0.18139292024240036,412.0,265.93707556238365,86.19963738595898,283.0,0.1553398058252427,0.4090864810287571,-0.4931725823388085,412.0,224.31689561785925,72.53045539340691,318.0,0.1553398058252427,0.34409245551161544,1,,da84814b42d87e33a919d1e44885462216764d9c8919891a2a1e14751bfafb32,0.1
openbmb/MiniCPM-2B-sft-bf16,floor_08__se_0p25__selector_dopt,8.0,0.25,dopt,ok,,True,precision_reached,True,8.0,28.0,True,"[""ifb_0052"", ""ifb_0207"", ""ifb_0384"", ""ifb_0378"", ""ifb_0209"", ""ifb_0098"", ""ifb_0017"", ""ifb_0065""]",True,precision_reached,True,18.0,62.0,True,"[""ifb_0113"", ""ifb_0075"", ""ifb_0037"", ""ifb_0428"", ""ifb_0009"", ""ifb_0165"", ""ifb_0391"", ""ifb_0364"", ""ifb_0410"", ""ifb_0033"", ""ifb_0218"", ""ifb_0046"", ""ifb_0080"", ""ifb_0005"", ""ifb_0212"", ""ifb_0259"", ""ifb_0280"", ""ifb_0282""]",0.0849739896543483,all_observed_administration_pool_items,1.2391651071079077,412.0,395.0027123346023,113.48892949141822,254.0,0.41262135922330095,0.6843281024950418,0.389120903401097,412.0,278.62357422726234,89.3463051585843,280.0,0.41262135922330095,0.5324622585863757,1,,da84814b42d87e33a919d1e44885462216764d9c8919891a2a1e14751bfafb32,0.1
