model,adaptive_items_se0.3,random_items_se0.3,adaptive_items_se0.2,random_items_se0.2,adaptive_items_se0.1,random_items_se0.1
NotASI/FineTome-v1.5-Llama3.2-1B-1007,17,55,37,127,400,400
NousResearch/Hermes-3-Llama-3.2-3B,8,22,10,60,31,199
Novaciano/ASTAROTH-3.2-1B,8,44,8,57,23,179
PJMixers-Dev/LLaMa-3.2-Instruct-JankMix-v0.2-SFT-HailMary-v0.1-KTO-3B,8,43,11,82,38,400
PJMixers-Dev/LLaMa-3.2-Instruct-JankMixBread-v0.1-3B,8,47,11,189,38,400
Qwen/Qwen2.5-3B-Instruct,8,33,12,71,124,379
RezVortex/Jajuka-3b,8,49,8,94,16,211
Sakalti/Sailor-japanese,8,74,17,178,400,400
Sakalti/Saka-1.5B,8,25,11,102,88,388
Sakalti/tara-3.8B,20,17,52,96,203,400
SultanR/SmolTulu-1.7b-Reinforced,12,66,51,135,325,400
Syed-Hasan-8503/Phi-3-mini-4K-instruct-cpo-simpo,12,51,32,125,160,400
Telugu-LLM-Labs/Indic-gemma-2b-finetuned-sft-Navarasa-2.0,16,32,76,71,275,400
TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T,8,46,15,142,111,400
Xiaojian9992024/Llama3.2-1B-THREADRIPPER,8,28,8,73,23,200
Xiaojian9992024/Llama3.2-1B-THREADRIPPER-v0.2,8,24,8,33,25,237
Xiaojian9992024/Qwen2.5-Ultra-1.5B-25.02-Exp,8,48,10,67,16,211
Youlln/2PRYMMAL-Yi1.5-6B-SLERP,8,19,15,46,108,288
akhadangi/Llama3.2.1B.0.1-Last,95,143,162,246,400,400
allenai/OLMo-7B-Instruct-hf,13,21,26,135,232,400
anakin87/gemma-2b-orpo,43,89,76,196,400,400
arcee-ai/raspberry-3B,8,18,19,67,225,400
awnr/Mistral-7B-v0.1-signtensors-1-over-4,11,45,42,135,252,400
bamec66557/VICIOUS_MESH-12B,8,26,32,66,182,400
bunnycore/Llama-3.2-3B-Della,8,17,11,58,64,268
bunnycore/QwQen-3B-LCoT,8,18,8,40,23,129
bunnycore/Qwen2.5-3B-Model-Stock-v4.1,8,48,10,90,34,259
bunnycore/Smol-Llama-3.2-3B,8,20,8,36,22,116
carsenk/phi3.5_mini_exp_825_uncensored,15,81,48,200,400,400
cjvt/GaMS-1B,8,8,8,34,23,215
cognitivecomputations/Dolphin3.0-Qwen2.5-0.5B,28,77,113,184,400,400
dwikitheduck/gemma-2-2b-id-inst,15,64,26,124,115,400
dwikitheduck/gemma-2-2b-id-instruct,15,53,26,120,115,347
ewre324/Thinker-Qwen2.5-0.5B-Instruct-Reasoning,14,70,44,151,278,400
godlikehhd/alpaca_data_ifd_min_2600,10,34,15,51,79,360
godlikehhd/alpaca_data_score_max_0.3_2600,10,29,17,66,106,285
godlikehhd/alpaca_data_score_max_2500,10,34,18,84,127,302
google/flan-t5-base,8,89,47,171,400,400
hotmailuser/QwenSlerp2-3B,9,48,25,117,177,400
iFaz/llama31_8B_en_emo_v4,8,28,8,54,22,200
ibm-granite/granite-3.1-2b-base,8,24,8,94,39,233
jaspionjader/test-11,16,57,44,117,224,400
lalainy/ECE-PRYMMAL-0.5B-FT-V5-MUSR,12,54,31,113,222,400
macadeliccc/magistrate-3.2-3b-base,8,42,19,92,161,400
microsoft/Phi-3.5-mini-instruct,8,62,21,132,143,400
microsoft/Phi-4-mini-instruct,8,23,8,92,16,163
mrdayl/OpenCognito-r1,8,30,25,103,254,400
mrdayl/OpenThink,13,83,30,169,249,400
ngxson/MiniThinky-1B-Llama-3.2,88,106,149,283,400,400
noname0202/llama-math-1b-r32-0to512tokens-test,8,22,8,37,25,117
nvidia/Hymba-1.5B-Base,8,17,8,84,26,301
ontocord/wide_3b_sft_stage1.1-ss1-with_generics_intr_stories.no_issue,8,33,8,71,23,221
ontocord/wide_3b_sft_stage1.2-ss1-expert_fictional_lyrical,8,63,8,88,27,197
oopere/pruned20-llama-1b,8,23,11,54,44,255
openbmb/MiniCPM-S-1B-sft-llama-format,8,32,8,38,16,292
pankajmathur/orca_mini_v9_6_3B-Instruct,8,60,19,94,175,400
princeton-nlp/Sheared-LLaMA-2.7B,8,75,11,109,101,400
prithivMLmods/Llama-3.2-3B-Math-Oct,25,105,68,200,400,400
prithivMLmods/Llama-Deepsync-3B,17,54,54,149,356,400
qingy2019/LLaMa_3.2_3B_Catalysts,15,27,37,137,224,400
rombodawg/Rombos-LLM-V2.5-Qwen-1.5b,8,32,12,57,100,151
ruizhe1217/sft-s1-qwen-0.5b,16,49,46,101,281,400
shastraai/Shastra-LLAMA2-Math-Commonsense-SFT,10,34,19,69,216,400
sumink/bbhqwen3,8,25,8,58,23,201
tangledgroup/tangled-llama-pints-1.5b-v0.1-instruct,47,86,105,188,400,400
tinycompany/ShawtyIsBad-bgem3,9,18,20,64,86,264
vhab10/Llama-3.2-Instruct-3B-TIES,26,46,54,106,400,400
yasserrmd/Coder-GRPO-3B,8,34,10,51,27,153
zake7749/gemma-2-2b-it-chinese-kyara-dpo,11,75,34,179,269,400
zelk12/Test01012025155054,8,56,16,125,233,400
