model,regime,n_admin_criteria,SE_posterior,SE_post_ci_lo,SE_post_ci_hi,SE_param,SE_total,SE_total_ci_lo,SE_total_ci_hi,theta,hit_cap
LGAI-EXAONE/EXAONE-3.5-2.4B-Instruct,deployed_cat_8_0.12,47,0.08793,0.08602,0.08984,0.08308,0.12097,0.11494,0.127,2.699102908228435,False
OpenBMB/MiniCPM4-0.5B,deployed_cat_8_0.12,88,0.05921,0.0585,0.05992,0.04079,0.0719,0.06935,0.07445,-0.3475602547860545,False
Qwen/Qwen1.5-1.8B,deployed_cat_8_0.12,222,0.118,0.1166,0.11941,0.06976,0.13708,0.13303,0.14113,-2.31901997633977,False
Qwen/Qwen1.5-1.8B-Chat,deployed_cat_8_0.12,85,0.10835,0.10752,0.10918,0.07809,0.13356,0.12881,0.1383,0.2702534726036077,False
Qwen/Qwen2-0.5B,deployed_cat_8_0.12,161,0.12194,0.12129,0.1226,0.05547,0.13397,0.13166,0.13627,-2.308928293133601,False
Qwen/Qwen2.5-0.5B-Instruct,deployed_cat_8_0.12,84,0.06315,0.06234,0.06396,0.04108,0.07534,0.07256,0.07812,-0.1122656765899096,False
ai-forever/mGPT,deployed_cat_8_0.12,379,0.24948,0.2449,0.25406,0.27474,0.37111,0.35338,0.38883,-6.2223011432363045,True
allenai/OLMo-1B-hf,deployed_cat_8_0.12,388,0.30912,0.30169,0.31655,0.41164,0.51479,0.48551,0.54406,-6.751778593273681,True
allenai/OLMo-2-0425-1B,deployed_cat_8_0.12,222,0.11428,0.11304,0.11552,0.07027,0.13416,0.12993,0.13838,-2.4068937699077093,False
allenai/OLMo-2-0425-1B-DPO,deployed_cat_8_0.12,71,0.11667,0.11509,0.11824,0.12222,0.16897,0.1609,0.17703,1.3935076799838957,False
allenai/OLMo-2-0425-1B-Instruct,deployed_cat_8_0.12,72,0.09007,0.0885,0.09163,0.06046,0.10848,0.10455,0.11241,1.320488939492724,False
arcee-ai/raspberry-3B,deployed_cat_8_0.12,73,0.10924,0.10781,0.11068,0.07741,0.13389,0.12904,0.13874,1.1711867245601306,False
google/gemma-2-2b,deployed_cat_8_0.12,146,0.12298,0.12227,0.1237,0.05851,0.13619,0.13309,0.1393,-1.589168818710511,False
google/gemma-2b,deployed_cat_8_0.12,156,0.10953,0.10768,0.11137,0.07458,0.13251,0.12737,0.13765,-2.190391050520444,False
h2oai/h2o-danube-1.8b-chat,deployed_cat_8_0.12,83,0.06929,0.06845,0.07013,0.04603,0.08318,0.08006,0.08631,0.0527687145810085,False
h2oai/h2o-danube2-1.8b-base,deployed_cat_8_0.12,175,0.11911,0.11833,0.1199,0.06852,0.13741,0.13417,0.14066,-1.2469577010932211,False
h2oai/h2o-danube2-1.8b-chat,deployed_cat_8_0.12,86,0.084,0.08241,0.08559,0.06869,0.10851,0.10316,0.11386,-0.253747600382373,False
ibm-granite/granite-3.0-2b-base,deployed_cat_8_0.12,85,0.06552,0.0647,0.06635,0.04248,0.07809,0.0758,0.08038,0.3148750597046377,False
ibm-granite/granite-3.1-2b-base,deployed_cat_8_0.12,90,0.06308,0.06232,0.06384,0.03853,0.07392,0.07166,0.07617,0.2790624903827156,False
ibm-granite/granite-3.1-2b-instruct,deployed_cat_8_0.12,65,0.07592,0.07472,0.07711,0.07181,0.1045,0.09886,0.11013,2.399632503035693,False
ibm-granite/granite-7b-instruct,deployed_cat_8_0.12,89,0.06436,0.0635,0.06522,0.03765,0.07457,0.07251,0.07663,0.2523250723166519,False
ibm/PowerLM-3b,deployed_cat_8_0.12,91,0.06918,0.06826,0.0701,0.04437,0.08219,0.07958,0.08479,0.1000491379585188,False
meta-llama/Llama-3.2-1B,deployed_cat_8_0.12,147,0.11025,0.10813,0.11237,0.06744,0.12924,0.12459,0.13389,-2.485510113453514,False
meta-llama/Llama-3.2-1B-Instruct,deployed_cat_8_0.12,76,0.0904,0.08862,0.09217,0.06998,0.11432,0.10855,0.12009,0.8090713250543944,False
meta-llama/Llama-3.2-3B-Instruct,deployed_cat_8_0.12,60,0.10157,0.09965,0.1035,0.07319,0.1252,0.12052,0.12988,2.2931224821381613,False
microsoft/phi-1_5,deployed_cat_8_0.12,109,0.1185,0.11719,0.1198,0.06718,0.13622,0.13249,0.13994,-1.6975323520432024,False
nvidia/AceInstruct-1.5B,deployed_cat_8_0.12,69,0.08531,0.0839,0.08672,0.07244,0.11192,0.10639,0.11744,1.4727980500548203,False
openbmb/MiniCPM-1B-sft-bf16,deployed_cat_8_0.12,266,0.10791,0.10637,0.10946,0.07201,0.12973,0.12522,0.13425,-2.888631980504001,False
openbmb/MiniCPM-2B-sft-bf16,deployed_cat_8_0.12,85,0.05966,0.05892,0.06039,0.03632,0.06984,0.06757,0.07212,-0.2673993258604797,False
openlm-research/open_llama_3b,deployed_cat_8_0.12,256,0.11149,0.10961,0.11337,0.07215,0.1328,0.12849,0.1371,-2.8028841805451883,False
pankajmathur/orca_mini_3b,deployed_cat_8_0.12,89,0.11049,0.10955,0.11143,0.04981,0.1212,0.11929,0.12311,-0.9062267355330296,False
pankajmathur/orca_mini_v9_5_3B-Instruct,deployed_cat_8_0.12,75,0.10363,0.10177,0.10548,0.07105,0.12564,0.12022,0.13107,1.408198313044954,False
stabilityai/stablelm-2-1_6b-chat,deployed_cat_8_0.12,79,0.10262,0.10133,0.10391,0.05406,0.11599,0.11325,0.11872,0.851326904146011,False
stabilityai/stablelm-2-zephyr-1_6b,deployed_cat_8_0.12,91,0.11464,0.11371,0.11556,0.07553,0.13728,0.13282,0.14174,0.4434159332027339,False
stabilityai/stablelm-zephyr-3b,deployed_cat_8_0.12,75,0.08847,0.08707,0.08988,0.05913,0.10641,0.10236,0.11046,1.1038450541428355,False
tiiuae/Falcon3-1B-Instruct,deployed_cat_8_0.12,68,0.10559,0.10383,0.10735,0.08371,0.13475,0.1273,0.1422,0.8694407830372572,False
tiiuae/Falcon3-3B-Base,deployed_cat_8_0.12,88,0.06585,0.06501,0.06669,0.03592,0.07501,0.07274,0.07728,0.2382914773004529,False
tiiuae/Falcon3-3B-Instruct,deployed_cat_8_0.12,54,0.06586,0.06487,0.06685,0.05628,0.08663,0.08263,0.09064,2.199625150167277,False
utter-project/EuroLLM-1.7B,deployed_cat_8_0.12,228,0.11142,0.10997,0.11287,0.06617,0.12958,0.12588,0.13328,-2.40246492657918,False
utter-project/EuroLLM-1.7B-Instruct,deployed_cat_8_0.12,83,0.0704,0.06936,0.07144,0.05321,0.08825,0.08466,0.09184,-0.1996095988293836,False
